distbin,District,purpose,survey_value,model_value
20,3: North City,Work,0.0,0.0
21,3: North City,Work,0.0,0.0
22,3: North City,Work,0.0,0.0
23,3: North City,Work,0.0,0.0
24,3: North City,Work,0.0,0.0
25,3: North City,Work,0.0,0.0
26,3: North City,Work,0.0,0.0
27,3: North City,Work,0.0,0.0
28,3: North City,Work,0.0,0.0
29,3: North City,Work,0.0,0.0
30,3: North City,Work,0.0,1545.816733067729
31,3: North City,Work,0.0,984.0637450199204
32,3: North City,Work,0.0,4207.171314741036
33,3: North City,Work,0.0,3079.6812749003984
34,3: North City,Work,0.0,6673.306772908367
35,3: North City,Work,0.0,1486.0557768924302
36,3: North City,Work,0.0,5745.019920318725
37,3: North City,Work,0.0,3697.211155378486
38,3: North City,Work,0.0,585.6573705179283
39,3: North City,Work,0.0,1573.7051792828686
40,3: North City,Work,0.0,1203.187250996016
41,3: North City,Work,0.0,143.42629482071715
42,3: North City,Work,0.0,51.79282868525897
43,3: North City,Work,0.0,215.1394422310757
44,3: North City,Work,0.0,191.23505976095615
45,3: North City,Work,0.0,486.0557768924303
46,3: North City,Work,0.0,597.609561752988
47,3: North City,Work,0.0,960.1593625498008
48,3: North City,Work,0.0,936.2549800796812
49,3: North City,Work,0.0,1235.0597609561753
50,3: North City,Work,0.0,561.7529880478088
51,3: North City,Work,0.0,0.0
1,4: South Suburban,Work,0.0,0.0
2,4: South Suburban,Work,0.0,0.0
3,4: South Suburban,Work,0.0,0.0
4,4: South Suburban,Work,0.0,0.0
5,4: South Suburban,Work,0.0,0.0
6,4: South Suburban,Work,0.0,0.0
7,4: South Suburban,Work,0.0,0.0
8,4: South Suburban,Work,0.0,0.0
9,4: South Suburban,Work,0.0,0.0
10,4: South Suburban,Work,0.0,0.0
11,4: South Suburban,Work,0.0,0.0
12,4: South Suburban,Work,0.0,0.0
13,4: South Suburban,Work,0.0,0.0
14,4: South Suburban,Work,0.0,0.0
15,4: South Suburban,Work,0.0,0.0
16,4: South Suburban,Work,0.0,0.0
17,4: South Suburban,Work,0.0,0.0
18,4: South Suburban,Work,0.0,0.0
19,4: South Suburban,Work,0.0,0.0
20,4: South Suburban,Work,0.0,0.0
21,4: South Suburban,Work,0.0,0.0
22,4: South Suburban,Work,0.0,0.0
23,4: South Suburban,Work,0.0,0.0
24,4: South Suburban,Work,0.0,0.0
25,4: South Suburban,Work,0.0,0.0
26,4: South Suburban,Work,0.0,0.0
27,4: South Suburban,Work,0.0,0.0
28,4: South Suburban,Work,0.0,0.0
29,4: South Suburban,Work,0.0,0.0
30,4: South Suburban,Work,0.0,0.0
31,4: South Suburban,Work,0.0,0.0
32,4: South Suburban,Work,0.0,0.0
33,4: South Suburban,Work,0.0,0.0
34,4: South Suburban,Work,0.0,0.0
35,4: South Suburban,Work,0.0,0.0
36,4: South Suburban,Work,0.0,0.0
37,4: South Suburban,Work,0.0,0.0
38,4: South Suburban,Work,0.0,0.0
39,4: South Suburban,Work,0.0,0.0
40,4: South Suburban,Work,0.0,0.0
41,4: South Suburban,Work,0.0,0.0
42,4: South Suburban,Work,0.0,0.0
43,4: South Suburban,Work,0.0,0.0
44,4: South Suburban,Work,0.0,0.0
45,4: South Suburban,Work,0.0,0.0
46,4: South Suburban,Work,0.0,0.0
47,4: South Suburban,Work,0.0,0.0
48,4: South Suburban,Work,0.0,0.0
49,4: South Suburban,Work,0.0,0.0
50,4: South Suburban,Work,0.0,0.0
51,4: South Suburban,Work,0.0,0.0
1,5: East Suburban,Work,0.0,0.0
2,5: East Suburban,Work,0.0,0.0
3,5: East Suburban,Work,0.0,0.0
4,5: East Suburban,Work,0.0,0.0
5,5: East Suburban,Work,0.0,0.0
6,5: East Suburban,Work,0.0,0.0
7,5: East Suburban,Work,0.0,0.0
8,5: East Suburban,Work,0.0,0.0
9,5: East Suburban,Work,0.0,0.0
10,5: East Suburban,Work,0.0,0.0
11,5: East Suburban,Work,0.0,0.0
12,5: East Suburban,Work,0.0,0.0
13,5: East Suburban,Work,0.0,0.0
14,5: East Suburban,Work,0.0,0.0
15,5: East Suburban,Work,0.0,0.0
16,5: East Suburban,Work,0.0,0.0
17,5: East Suburban,Work,0.0,0.0
18,5: East Suburban,Work,0.0,0.0
19,5: East Suburban,Work,0.0,0.0
20,5: East Suburban,Work,0.0,0.0
21,5: East Suburban,Work,0.0,0.0
22,5: East Suburban,Work,0.0,0.0
23,5: East Suburban,Work,0.0,0.0
24,5: East Suburban,Work,0.0,0.0
25,5: East Suburban,Work,0.0,0.0
26,5: East Suburban,Work,0.0,0.0
27,5: East Suburban,Work,0.0,0.0
28,5: East Suburban,Work,0.0,0.0
29,5: East Suburban,Work,0.0,0.0
30,5: East Suburban,Work,0.0,0.0
31,5: East Suburban,Work,0.0,0.0
32,5: East Suburban,Work,0.0,0.0
33,5: East Suburban,Work,0.0,0.0
34,5: East Suburban,Work,0.0,27.88844621513944
35,5: East Suburban,Work,0.0,0.0
36,5: East Suburban,Work,0.0,0.0
37,5: East Suburban,Work,0.0,0.0
38,5: East Suburban,Work,0.0,111.55378486055776
39,5: East Suburban,Work,0.0,0.0
40,5: East Suburban,Work,0.0,0.0
41,5: East Suburban,Work,0.0,298.804780876494
42,5: East Suburban,Work,0.0,354.5816733067729
43,5: East Suburban,Work,0.0,91.63346613545816
44,5: East Suburban,Work,0.0,697.2111553784861
45,5: East Suburban,Work,0.0,2521.912350597609
46,5: East Suburban,Work,0.0,1438.247011952191
47,5: East Suburban,Work,0.0,171.31474103585657
48,5: East Suburban,Work,0.0,15.93625498007968
49,5: East Suburban,Work,0.0,119.5219123505976
50,5: East Suburban,Work,0.0,27.88844621513944
51,5: East Suburban,Work,0.0,0.0
1,6: North County West,Work,0.0,0.0
2,6: North County West,Work,0.0,0.0
3,6: North County West,Work,0.0,0.0
4,6: North County West,Work,0.0,0.0
5,6: North County West,Work,0.0,0.0
6,6: North County West,Work,0.0,0.0
7,6: North County West,Work,0.0,1545.816733067729
8,6: North County West,Work,0.0,0.0
9,6: North County West,Work,0.0,0.0
10,6: North County West,Work,0.0,0.0
11,6: North County West,Work,0.0,0.0
12,6: North County West,Work,0.0,0.0
13,6: North County West,Work,0.0,0.0
14,6: North County West,Work,0.0,0.0
15,6: North County West,Work,0.0,4047.808764940239
16,6: North County West,Work,0.0,151.39442231075697
17,6: North County West,Work,0.0,175.29880478087648
18,6: North County West,Work,0.0,517.9282868525896
19,6: North County West,Work,0.0,1282.8685258964144
20,6: North County West,Work,0.0,11498.00796812749
21,6: North County West,Work,0.0,7187.250996015936
22,6: North County West,Work,0.0,8362.549800796813
23,6: North County West,Work,0.0,12402.390438247012
24,6: North County West,Work,0.0,9709.163346613546
25,6: North County West,Work,0.0,9378.486055776892
26,6: North County West,Work,0.0,9541.83266932271
27,6: North County West,Work,0.0,7099.601593625498
28,6: North County West,Work,0.0,8525.89641434263
29,6: North County West,Work,0.0,1697.211155378486
30,6: North County West,Work,0.0,4155.378486055777
31,6: North County West,Work,0.0,4784.860557768924
32,6: North County West,Work,0.0,5860.557768924303
33,6: North County West,Work,0.0,6681.274900398406
34,6: North County West,Work,0.0,6326.693227091633
35,6: North County West,Work,0.0,6677.290836653387
36,6: North County West,Work,0.0,5019.9203187251
37,6: North County West,Work,0.0,4880.478087649402
38,6: North County West,Work,0.0,2362.5498007968126
39,6: North County West,Work,0.0,4003.98406374502
40,6: North County West,Work,0.0,3964.143426294821
41,6: North County West,Work,0.0,2334.661354581673
42,6: North County West,Work,0.0,1019.9203187250996
43,6: North County West,Work,0.0,223.10756972111557
44,6: North County West,Work,0.0,75.69721115537848
45,6: North County West,Work,0.0,75.69721115537848
46,6: North County West,Work,0.0,107.56972111553785
47,6: North County West,Work,0.0,123.50597609561753
48,6: North County West,Work,0.0,71.71314741035857
49,6: North County West,Work,0.0,67.72908366533865
50,6: North County West,Work,0.0,75.69721115537848
51,6: North County West,Work,0.0,0.0
1,7: North County East,Work,0.0,0.0
2,7: North County East,Work,0.0,147.41035856573706
3,7: North County East,Work,0.0,235.0597609561753
4,7: North County East,Work,0.0,119.5219123505976
5,7: North County East,Work,0.0,175.29880478087648
6,7: North County East,Work,0.0,354.5816733067729
7,7: North County East,Work,0.0,1107.569721115538
8,7: North County East,Work,0.0,1187.2509960159362
9,7: North County East,Work,0.0,2366.533864541833
10,7: North County East,Work,0.0,4247.011952191235
11,7: North County East,Work,0.0,3422.3107569721114
12,7: North County East,Work,0.0,585.6573705179283
13,7: North County East,Work,0.0,828.6852589641435
14,7: North County East,Work,0.0,621.5139442231076
15,7: North County East,Work,0.0,1151.394422310757
16,7: North County East,Work,0.0,1127.4900398406376
17,7: North County East,Work,0.0,231.0756972111554
18,7: North County East,Work,0.0,55.776892430278885
19,7: North County East,Work,0.0,573.7051792828686
20,7: North County East,Work,0.0,1266.9322709163346
21,7: North County East,Work,0.0,3928.2868525896415
22,7: North County East,Work,0.0,5681.274900398406
23,7: North County East,Work,0.0,14199.203187250996
24,7: North County East,Work,0.0,12637.450199203187
25,7: North County East,Work,0.0,15645.418326693229
26,7: North County East,Work,0.0,15262.948207171316
27,7: North County East,Work,0.0,6932.270916334662
28,7: North County East,Work,0.0,4856.573705179283
29,7: North County East,Work,0.0,5892.430278884463
30,7: North County East,Work,0.0,4569.721115537849
31,7: North County East,Work,0.0,6350.597609561753
32,7: North County East,Work,0.0,5776.892430278885
33,7: North County East,Work,0.0,2557.768924302789
34,7: North County East,Work,0.0,2282.868525896414
35,7: North County East,Work,0.0,1944.2231075697207
36,7: North County East,Work,0.0,1422.3107569721114
37,7: North County East,Work,0.0,1071.7131474103585
38,7: North County East,Work,0.0,1015.9362549800796
39,7: North County East,Work,0.0,593.6254980079681
40,7: North County East,Work,0.0,2278.8844621513945
41,7: North County East,Work,0.0,2115.537848605578
42,7: North County East,Work,0.0,1756.9721115537848
43,7: North County East,Work,0.0,1111.5537848605577
44,7: North County East,Work,0.0,498.00796812749
45,7: North County East,Work,0.0,258.9641434262948
46,7: North County East,Work,0.0,155.3784860557769
47,7: North County East,Work,0.0,143.42629482071715
48,7: North County East,Work,0.0,115.5378486055777
49,7: North County East,Work,0.0,71.71314741035857
50,7: North County East,Work,0.0,43.82470119521912
51,7: North County East,Work,0.0,0.0
1,8: East County,Work,0.0,0.0
2,8: East County,Work,0.0,0.0
3,8: East County,Work,0.0,0.0
4,8: East County,Work,0.0,0.0
5,8: East County,Work,0.0,0.0
6,8: East County,Work,0.0,0.0
7,8: East County,Work,0.0,0.0
8,8: East County,Work,0.0,0.0
9,8: East County,Work,0.0,0.0
10,8: East County,Work,0.0,0.0
11,8: East County,Work,0.0,0.0
12,8: East County,Work,0.0,0.0
13,8: East County,Work,0.0,0.0
14,8: East County,Work,0.0,0.0
15,8: East County,Work,0.0,0.0
16,8: East County,Work,0.0,0.0
17,8: East County,Work,0.0,0.0
18,8: East County,Work,0.0,0.0
19,8: East County,Work,0.0,0.0
20,8: East County,Work,0.0,0.0
21,8: East County,Work,0.0,0.0
22,8: East County,Work,0.0,0.0
23,8: East County,Work,0.0,0.0
24,8: East County,Work,0.0,0.0
25,8: East County,Work,0.0,0.0
26,8: East County,Work,0.0,0.0
27,8: East County,Work,0.0,0.0
28,8: East County,Work,0.0,0.0
29,8: East County,Work,0.0,0.0
30,8: East County,Work,0.0,0.0
31,8: East County,Work,0.0,0.0
32,8: East County,Work,0.0,0.0
33,8: East County,Work,0.0,0.0
34,8: East County,Work,0.0,0.0
35,8: East County,Work,0.0,0.0
36,8: East County,Work,0.0,0.0
37,8: East County,Work,0.0,0.0
38,8: East County,Work,0.0,0.0
39,8: East County,Work,0.0,0.0
40,8: East County,Work,0.0,0.0
41,8: East County,Work,0.0,0.0
42,8: East County,Work,0.0,0.0
43,8: East County,Work,0.0,0.0
44,8: East County,Work,0.0,0.0
45,8: East County,Work,0.0,0.0
46,8: East County,Work,0.0,0.0
47,8: East County,Work,0.0,0.0
48,8: East County,Work,0.0,0.0
49,8: East County,Work,0.0,0.0
50,8: East County,Work,0.0,0.0
51,8: East County,Work,0.0,0.0
1,Total,Work,0.0,0.0
2,Total,Work,0.0,147.41035856573706
3,Total,Work,0.0,235.0597609561753
4,Total,Work,0.0,119.5219123505976
5,Total,Work,0.0,175.29880478087648
6,Total,Work,0.0,354.5816733067729
7,Total,Work,0.0,2653.3864541832672
8,Total,Work,0.0,1187.2509960159362
9,Total,Work,0.0,2366.533864541833
10,Total,Work,0.0,4247.011952191235
11,Total,Work,0.0,3422.3107569721114
12,Total,Work,0.0,585.6573705179283
13,Total,Work,0.0,828.6852589641435
14,Total,Work,0.0,621.5139442231076
15,Total,Work,0.0,5199.203187250996
16,Total,Work,0.0,1278.8844621513945
17,Total,Work,0.0,406.37450199203187
18,Total,Work,0.0,573.7051792828685
19,Total,Work,0.0,1856.573705179283
20,Total,Work,0.0,12764.940239043824
21,Total,Work,0.0,11115.537848605578
22,Total,Work,0.0,14043.824701195219
23,Total,Work,0.0,26601.593625498008
24,Total,Work,0.0,22346.613545816734
25,Total,Work,0.0,25023.904382470122
26,Total,Work,0.0,24804.780876494027
27,Total,Work,0.0,14031.87250996016
28,Total,Work,0.0,13382.470119521913
29,Total,Work,0.0,7589.64143426295
30,Total,Work,0.0,10270.916334661355
31,Total,Work,0.0,12119.521912350598
32,Total,Work,0.0,15844.621513944225
33,Total,Work,0.0,12318.725099601594
34,Total,Work,0.0,15310.756972111554
35,Total,Work,0.0,10107.569721115537
36,Total,Work,0.0,12187.250996015937
37,Total,Work,0.0,9649.402390438247
38,Total,Work,0.0,4075.6972111553787
39,Total,Work,0.0,6171.314741035857
40,Total,Work,0.0,7446.215139442231
41,Total,Work,0.0,4892.430278884462
42,Total,Work,0.0,3183.266932270916
43,Total,Work,0.0,1641.434262948207
44,Total,Work,0.0,1462.1513944223107
45,Total,Work,0.0,3342.629482071713
46,Total,Work,0.0,2298.804780876494
47,Total,Work,0.0,1398.406374501992
48,Total,Work,0.0,1139.4422310756972
49,Total,Work,0.0,1494.0239043824702
50,Total,Work,0.0,709.1633466135459
51,Total,Work,0.0,0.0
1,1: Downtown,University,0.0,0.0
2,1: Downtown,University,0.0,0.0
3,1: Downtown,University,0.0,0.0
4,1: Downtown,University,0.0,0.0
5,1: Downtown,University,0.0,0.0
6,1: Downtown,University,0.0,0.0
7,1: Downtown,University,0.0,0.0
8,1: Downtown,University,0.0,0.0
9,1: Downtown,University,0.0,0.0
10,1: Downtown,University,0.0,0.0
11,1: Downtown,University,0.0,0.0
12,1: Downtown,University,0.0,0.0
13,1: Downtown,University,0.0,0.0
14,1: Downtown,University,0.0,0.0
15,1: Downtown,University,0.0,0.0
16,1: Downtown,University,0.0,0.0
17,1: Downtown,University,0.0,11.95219123505976
18,1: Downtown,University,0.0,35.85657370517929
19,1: Downtown,University,0.0,7.968127490039841
20,1: Downtown,University,0.0,0.0
21,1: Downtown,University,0.0,0.0
22,1: Downtown,University,0.0,3.98406374501992
23,1: Downtown,University,0.0,3.98406374501992
24,1: Downtown,University,0.0,0.0
25,1: Downtown,University,0.0,0.0
26,1: Downtown,University,0.0,0.0
27,1: Downtown,University,0.0,0.0
28,1: Downtown,University,0.0,0.0
29,1: Downtown,University,0.0,0.0
30,1: Downtown,University,0.0,0.0
31,1: Downtown,University,0.0,0.0
32,1: Downtown,University,0.0,0.0
33,1: Downtown,University,0.0,0.0
34,1: Downtown,University,0.0,0.0
35,1: Downtown,University,0.0,0.0
36,1: Downtown,University,0.0,0.0
37,1: Downtown,University,0.0,0.0
38,1: Downtown,University,0.0,0.0
39,1: Downtown,University,0.0,0.0
40,1: Downtown,University,0.0,0.0
41,1: Downtown,University,0.0,0.0
42,1: Downtown,University,0.0,0.0
43,1: Downtown,University,0.0,0.0
44,1: Downtown,University,0.0,0.0
45,1: Downtown,University,0.0,0.0
46,1: Downtown,University,0.0,0.0
47,1: Downtown,University,0.0,0.0
48,1: Downtown,University,0.0,0.0
49,1: Downtown,University,0.0,0.0
50,1: Downtown,University,0.0,0.0
51,1: Downtown,University,0.0,0.0
1,2: Central,University,0.0,0.0
2,2: Central,University,0.0,0.0
3,2: Central,University,0.0,0.0
4,2: Central,University,0.0,0.0
5,2: Central,University,0.0,0.0
6,2: Central,University,0.0,0.0
7,2: Central,University,0.0,0.0
8,2: Central,University,0.0,0.0
9,2: Central,University,0.0,0.0
10,2: Central,University,0.0,0.0
11,2: Central,University,0.0,0.0
12,2: Central,University,0.0,7.968127490039841
13,2: Central,University,0.0,79.6812749003984
14,2: Central,University,0.0,59.7609561752988
15,2: Central,University,0.0,71.71314741035857
16,2: Central,University,0.0,63.745019920318725
17,2: Central,University,0.0,47.80876494023904
18,2: Central,University,0.0,63.745019920318725
19,2: Central,University,0.0,111.55378486055776
20,2: Central,University,0.0,119.5219123505976
21,2: Central,University,0.0,39.8406374501992
22,2: Central,University,0.0,31.872509960159363
23,2: Central,University,0.0,51.79282868525897
24,2: Central,University,0.0,67.72908366533865
25,2: Central,University,0.0,75.69721115537848
26,2: Central,University,0.0,27.88844621513944
27,2: Central,University,0.0,11.95219123505976
28,2: Central,University,0.0,11.95219123505976
29,2: Central,University,0.0,3.98406374501992
30,2: Central,University,0.0,7.968127490039841
31,2: Central,University,0.0,0.0
32,2: Central,University,0.0,0.0
33,2: Central,University,0.0,0.0
34,2: Central,University,0.0,0.0
35,2: Central,University,0.0,0.0
36,2: Central,University,0.0,0.0
37,2: Central,University,0.0,0.0
38,2: Central,University,0.0,0.0
39,2: Central,University,0.0,0.0
40,2: Central,University,0.0,3.98406374501992
41,2: Central,University,0.0,0.0
42,2: Central,University,0.0,0.0
43,2: Central,University,0.0,0.0
44,2: Central,University,0.0,0.0
45,2: Central,University,0.0,0.0
46,2: Central,University,0.0,0.0
47,2: Central,University,0.0,0.0
48,2: Central,University,0.0,0.0
49,2: Central,University,0.0,0.0
50,2: Central,University,0.0,0.0
51,2: Central,University,0.0,0.0
1,3: North City,University,0.0,0.0
2,3: North City,University,0.0,0.0
3,3: North City,University,0.0,0.0
4,3: North City,University,0.0,0.0
5,3: North City,University,0.0,0.0
6,3: North City,University,0.0,0.0
7,3: North City,University,0.0,0.0
8,3: North City,University,0.0,0.0
9,3: North City,University,0.0,0.0
10,3: North City,University,0.0,0.0
11,3: North City,University,0.0,0.0
12,3: North City,University,0.0,0.0
13,3: North City,University,0.0,0.0
14,3: North City,University,0.0,0.0
15,3: North City,University,0.0,0.0
16,3: North City,University,0.0,0.0
17,3: North City,University,0.0,0.0
18,3: North City,University,0.0,0.0
19,3: North City,University,0.0,0.0
20,3: North City,University,0.0,0.0
21,3: North City,University,0.0,0.0
22,3: North City,University,0.0,19.9203187250996
23,3: North City,University,0.0,51.79282868525897
24,3: North City,University,0.0,35.85657370517929
25,3: North City,University,0.0,27.88844621513944
26,3: North City,University,0.0,83.66533864541833
27,3: North City,University,0.0,43.82470119521912
28,3: North City,University,0.0,31.872509960159363
29,3: North City,University,0.0,39.8406374501992
30,3: North City,University,0.0,199.203187250996
31,3: North City,University,0.0,167.33067729083666
32,3: North City,University,0.0,462.1513944223108
33,3: North City,University,0.0,294.8207171314741
34,3: North City,University,0.0,737.0517928286853
35,3: North City,University,0.0,143.42629482071715
36,3: North City,University,0.0,641.4342629482072
37,3: North City,University,0.0,545.816733067729
38,3: North City,University,0.0,418.32669322709165
39,3: North City,University,0.0,745.0199203187251
40,3: North City,University,0.0,589.6414342629482
41,3: North City,University,0.0,418.32669322709165
42,3: North City,University,0.0,171.31474103585657
43,3: North City,University,0.0,155.3784860557769
44,3: North City,University,0.0,147.41035856573706
45,3: North City,University,0.0,227.09163346613545
46,3: North City,University,0.0,159.3625498007968
47,3: North City,University,0.0,235.0597609561753
48,3: North City,University,0.0,322.70916334661354
49,3: North City,University,0.0,446.2151394422311
50,3: North City,University,0.0,250.996015936255
51,3: North City,University,0.0,0.0
1,4: South Suburban,University,0.0,0.0
2,4: South Suburban,University,0.0,0.0
3,4: South Suburban,University,0.0,7.968127490039841
4,4: South Suburban,University,0.0,7.968127490039841
5,4: South Suburban,University,0.0,71.71314741035857
6,4: South Suburban,University,0.0,111.55378486055776
7,4: South Suburban,University,0.0,103.58565737051794
8,4: South Suburban,University,0.0,147.41035856573706
9,4: South Suburban,University,0.0,111.55378486055776
10,4: South Suburban,University,0.0,135.4581673306773
11,4: South Suburban,University,0.0,167.33067729083666
12,4: South Suburban,University,0.0,123.50597609561753
13,4: South Suburban,University,0.0,79.6812749003984
14,4: South Suburban,University,0.0,55.776892430278885
15,4: South Suburban,University,0.0,7.968127490039841
16,4: South Suburban,University,0.0,3.98406374501992
17,4: South Suburban,University,0.0,15.93625498007968
18,4: South Suburban,University,0.0,0.0
19,4: South Suburban,University,0.0,11.95219123505976
20,4: South Suburban,University,0.0,0.0
21,4: South Suburban,University,0.0,0.0
22,4: South Suburban,University,0.0,0.0
23,4: South Suburban,University,0.0,0.0
24,4: South Suburban,University,0.0,0.0
25,4: South Suburban,University,0.0,0.0
26,4: South Suburban,University,0.0,0.0
27,4: South Suburban,University,0.0,0.0
28,4: South Suburban,University,0.0,0.0
29,4: South Suburban,University,0.0,0.0
30,4: South Suburban,University,0.0,0.0
31,4: South Suburban,University,0.0,0.0
32,4: South Suburban,University,0.0,0.0
33,4: South Suburban,University,0.0,0.0
34,4: South Suburban,University,0.0,0.0
35,4: South Suburban,University,0.0,0.0
36,4: South Suburban,University,0.0,0.0
37,4: South Suburban,University,0.0,0.0
38,4: South Suburban,University,0.0,0.0
39,4: South Suburban,University,0.0,0.0
40,4: South Suburban,University,0.0,0.0
41,4: South Suburban,University,0.0,0.0
42,4: South Suburban,University,0.0,0.0
43,4: South Suburban,University,0.0,0.0
44,4: South Suburban,University,0.0,0.0
45,4: South Suburban,University,0.0,0.0
46,4: South Suburban,University,0.0,0.0
47,4: South Suburban,University,0.0,0.0
48,4: South Suburban,University,0.0,0.0
49,4: South Suburban,University,0.0,0.0
50,4: South Suburban,University,0.0,0.0
51,4: South Suburban,University,0.0,0.0
1,5: East Suburban,University,0.0,0.0
2,5: East Suburban,University,0.0,0.0
3,5: East Suburban,University,0.0,0.0
4,5: East Suburban,University,0.0,0.0
5,5: East Suburban,University,0.0,0.0
6,5: East Suburban,University,0.0,0.0
7,5: East Suburban,University,0.0,0.0
8,5: East Suburban,University,0.0,0.0
9,5: East Suburban,University,0.0,0.0
10,5: East Suburban,University,0.0,0.0
11,5: East Suburban,University,0.0,3.98406374501992
12,5: East Suburban,University,0.0,0.0
13,5: East Suburban,University,0.0,0.0
14,5: East Suburban,University,0.0,0.0
15,5: East Suburban,University,0.0,3.98406374501992
16,5: East Suburban,University,0.0,0.0
17,5: East Suburban,University,0.0,7.968127490039841
18,5: East Suburban,University,0.0,19.9203187250996
19,5: East Suburban,University,0.0,15.93625498007968
20,5: East Suburban,University,0.0,39.8406374501992
21,5: East Suburban,University,0.0,15.93625498007968
22,5: East Suburban,University,0.0,31.872509960159363
23,5: East Suburban,University,0.0,31.872509960159363
24,5: East Suburban,University,0.0,43.82470119521912
25,5: East Suburban,University,0.0,23.90438247011952
26,5: East Suburban,University,0.0,31.872509960159363
27,5: East Suburban,University,0.0,63.745019920318725
