PrimPurp,Direction,DepartRangeStart,DepartRangeEnd,Ptype,Work,University,School,Escort,Shop,Maintenance,Eating Out,Visiting,Discretionary
Shop,Inbound,430,2400,FT Worker,0,0,0,0.073,0.609,0.199,0.079,0.04,0
Shop,Inbound,430,2400,PT Worker,0,0,0,0,0.61,0.221,0.169,0,0
Shop,Inbound,430,2400,University Student,0,0,0,0,0,0.491,0.509,0,0
Shop,Inbound,430,2400,Homemaker,0,0,0,0.062,0.41,0.167,0.176,0.058,0.127
Shop,Inbound,430,2400,Retired,0,0,0,0.035,0.448,0.157,0.196,0.148,0.016
Shop,Inbound,430,2400,Driving-age Child,0,0,0,0.062,0.41,0.167,0.176,0.058,0.127
Shop,Inbound,430,2400,Pre-Driving Child,0,0,0,0.062,0.41,0.167,0.176,0.058,0.127
Shop,Inbound,430,2400,Preschool,0,0,0,0.248,0.205,0.265,0.282,0,0
Maintenance,Inbound,430,2400,FT Worker,0,0,0,0.175,0.083,0.354,0.329,0.022,0.037
Maintenance,Inbound,430,2400,PT Worker,0,0,0,0.108,0.441,0.185,0.266,0,0
Maintenance,Inbound,430,2400,University Student,0,0,0,0,0.334,0.666,0,0,0
Maintenance,Inbound,430,2400,Homemaker,0,0,0,0.092,0.342,0.293,0.218,0.055,0
Maintenance,Inbound,430,2400,Retired,0,0,0,0.016,0.259,0.318,0.386,0.021,0
Maintenance,Inbound,430,2400,Driving-age Child,0,0,0,0.092,0.342,0.293,0.218,0.055,0
Maintenance,Inbound,430,2400,Pre-Driving Child,0,0,0,0,0,1,0,0,0
Maintenance,Inbound,430,2400,Preschool,0,0,0,0,0,0,1,0,0
Eating Out,Inbound,430,2400,FT Worker,0,0,0,1,0,0,0,0,0
Eating Out,Inbound,430,2400,PT Worker,0,0,0,1,0,0,0,0,0
Eating Out,Inbound,430,2400,University Student,0,0,0,1,0,0,0,0,0
Eating Out,Inbound,430,2400,Homemaker,0,0,0,0,0,1,0,0,0
Eating Out,Inbound,430,2400,Retired,0,0,0,0,0,1,0,0,0
Eating Out,Inbound,430,2400,Driving-age Child,0,0,0,0,0,0,1,0,0
Eating Out,Inbound,430,2400,Pre-Driving Child,0,0,0,0,0,0,1,0,0
Eating Out,Inbound,430,2400,Preschool,0,0,0,0,1,0,0,0,0
Visiting,Inbound,430,2400,FT Worker,0,0,0,0.252,0.126,0.438,0.184,0,0
Visiting,Inbound,430,2400,PT Worker,0,0,0,0,0.497,0,0.255,0,0.248
Visiting,Inbound,430,2400,University Student,0,0,0,1,0,0,0,0,0
Visiting,Inbound,430,2400,Homemaker,0,0,0,0.312,0.118,0.216,0.354,0,0
Visiting,Inbound,430,2400,Retired,0,0,0,0.312,0.118,0.216,0.354,0,0
Visiting,Inbound,430,2400,Driving-age Child,0,0,0,0.312,0.118,0.216,0.354,0,0
Visiting,Inbound,430,2400,Pre-Driving Child,0,0,0,0.312,0.118,0.216,0.354,0,0
Visiting,Inbound,430,2400,Preschool,0,0,0,0,0,0,0.31,0.69,0
Discretionary,Inbound,430,2400,FT Worker,0,0,0,0.011,0.304,0.012,0.405,0.192,0.076
Discretionary,Inbound,430,2400,PT Worker,0,0,0,0.192,0.351,0.08,0.297,0.08,0
Discretionary,Inbound,430,2400,University Student,0,0,0,0.192,0.351,0.08,0.297,0.08,0
Discretionary,Inbound,430,2400,Homemaker,0,0,0,0.074,0.157,0.376,0.321,0.072,0
Discretionary,Inbound,430,2400,Retired,0,0,0,0.071,0.338,0.163,0.199,0.045,0.184
Discretionary,Inbound,430,2400,Driving-age Child,0,0,0,1,0,0,0,0,0
Discretionary,Inbound,430,2400,Pre-Driving Child,0,0,0,0.81,0,0,0.19,0,0
Discretionary,Inbound,430,2400,Preschool,0,0,0,0,1,0,0,0,0
Work-Based,Inbound,430,2400,All,0.14,0,0,0.118,0.214,0.115,0.366,0.016,0.031
