hh_id,person_id,person_num,age,gender,type,value_of_time,activity_pattern,imf_choice,inmf_choice,fp_choice,reimb_pct,tele_choice,ie_choice,timeFactorWork,timeFactorNonWork
54,108,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
55,109,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
55,110,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
56,111,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
56,112,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
57,113,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
57,114,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
58,115,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
58,116,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
59,117,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
59,118,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
60,119,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
60,120,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
61,121,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
61,122,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
62,123,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
62,124,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
63,125,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
63,126,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
64,127,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
64,128,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
65,129,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
65,130,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
66,131,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
66,132,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
67,133,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
67,134,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
68,135,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
68,136,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
69,137,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
69,138,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
70,139,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
70,140,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
71,141,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
71,142,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
72,143,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
72,144,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
73,145,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
73,146,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
74,147,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
74,148,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
75,149,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
75,150,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
76,151,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
76,152,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
77,153,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
77,154,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
78,155,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
78,156,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
79,157,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
79,158,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
80,159,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
80,160,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
81,161,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
81,162,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
82,163,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
82,164,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
83,165,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
83,166,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
84,167,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
84,168,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
85,169,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
85,170,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
86,171,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
86,172,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
87,173,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
87,174,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
88,175,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
88,176,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
89,177,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
89,178,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
90,179,1,35,male,Full-time worker,0,M,1,0,2,0,1,1,1,1
90,180,2,55,female,Non-worker,0,N,0,36,-1,0,-1,1,1,1
