hhid,perid,household_serial_no,pnum,age,sex,miltary,pemploy,pstudent,ptype,educ,grade,occen5,occsoc5,indcen,weeks,hours,race1p,hisp,version,timeFactorWork,timeFactorNonWork,DAP
39,78,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
40,79,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
40,80,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
41,81,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
41,82,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
42,83,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
42,84,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
43,85,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
43,86,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
44,87,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
44,88,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
45,89,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
45,90,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
46,91,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
46,92,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
47,93,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
47,94,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
48,95,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
48,96,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
49,97,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
49,98,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
50,99,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
50,100,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
51,101,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
51,102,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
52,103,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
52,104,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
53,105,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
53,106,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
54,107,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
54,108,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
55,109,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
55,110,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
56,111,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
56,112,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
57,113,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
57,114,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
58,115,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
58,116,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
59,117,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
59,118,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
60,119,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
60,120,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
61,121,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
61,122,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
62,123,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
62,124,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
63,125,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
63,126,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
64,127,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
64,128,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
65,129,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
65,130,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
66,131,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
66,132,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
67,133,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
67,134,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
68,135,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
68,136,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
69,137,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
69,138,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
70,139,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
70,140,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
71,141,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
71,142,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
72,143,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
72,144,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
73,145,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
73,146,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
74,147,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
74,148,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
75,149,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
75,150,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
76,151,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
76,152,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
77,153,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
77,154,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
78,155,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
78,156,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
79,157,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
79,158,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
80,159,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
80,160,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
81,161,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
81,162,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
82,163,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
82,164,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
83,165,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
83,166,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
84,167,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
84,168,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
85,169,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
85,170,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
86,171,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
86,172,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
87,173,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
87,174,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
88,175,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
88,176,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
89,177,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
89,178,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
90,179,0,1,35,1,4,1,3,1,13,0,0,11-1021,0,1,35,9,1,9,1,1,M
90,180,0,2,55,2,4,3,3,4,13,0,0,00-0000,0,0,0,9,1,9,1,1,N
