,start,end
217,5,26
218,5,27
219,5,28
220,5,29
221,5,30
222,5,31
223,5,32
224,5,33
225,5,34
226,5,35
227,5,36
228,5,37
229,5,38
230,5,39
231,5,40
232,5,41
233,5,42
234,5,43
235,5,44
236,5,45
237,5,46
238,5,47
239,5,48
240,6,1
241,6,2
242,6,3
243,6,4
244,6,5
245,6,6
246,6,7
247,6,8
248,6,9
249,6,10
250,6,11
251,6,12
252,6,13
253,6,14
254,6,15
255,6,16
256,6,17
257,6,18
258,6,19
259,6,20
260,6,21
261,6,22
262,6,23
263,6,24
264,6,25
265,6,26
266,6,27
267,6,28
268,6,29
269,6,30
270,6,31
271,6,32
272,6,33
273,6,34
274,6,35
275,6,36
276,6,37
277,6,38
278,6,39
279,6,40
280,6,41
281,6,42
282,6,43
283,6,44
284,6,45
285,6,46
286,6,47
287,6,48
288,7,1
289,7,2
290,7,3
291,7,4
292,7,5
293,7,6
294,7,7
295,7,8
296,7,9
297,7,10
298,7,11
299,7,12
300,7,13
301,7,14
302,7,15
303,7,16
304,7,17
305,7,18
306,7,19
307,7,20
308,7,21
309,7,22
310,7,23
311,7,24
312,7,25
313,7,26
314,7,27
315,7,28
316,7,29
317,7,30
318,7,31
319,7,32
320,7,33
321,7,34
322,7,35
323,7,36
324,7,37
325,7,38
326,7,39
327,7,40
328,7,41
329,7,42
330,7,43
331,7,44
332,7,45
333,7,46
334,7,47
335,7,48
336,8,1
337,8,2
338,8,3
339,8,4
340,8,5
341,8,6
342,8,7
343,8,8
344,8,9
345,8,10
346,8,11
347,8,12
348,8,13
349,8,14
350,8,15
351,8,16
352,8,17
353,8,18
354,8,19
355,8,20
356,8,21
357,8,22
358,8,23
359,8,24
360,8,25
361,8,26
362,8,27
363,8,28
364,8,29
365,8,30
366,8,31
367,8,32
368,8,33
369,8,34
370,8,35
371,8,36
372,8,37
373,8,38
374,8,39
375,8,40
376,8,41
377,8,42
378,8,43
379,8,44
380,8,45
381,8,46
382,8,47
383,8,48
384,9,1
385,9,2
386,9,3
387,9,4
388,9,5
389,9,6
390,9,7
391,9,8
392,9,9
393,9,10
394,9,11
395,9,12
396,9,13
397,9,14
398,9,15
399,9,16
400,9,17
401,9,18
402,9,19
403,9,20
404,9,21
405,9,22
406,9,23
407,9,24
408,9,25
409,9,26
410,9,27
411,9,28
412,9,29
413,9,30
414,9,31
415,9,32
416,9,33
417,9,34
418,9,35
419,9,36
420,9,37
421,9,38
422,9,39
423,9,40
424,9,41
425,9,42
426,9,43
427,9,44
428,9,45
429,9,46
430,9,47
431,9,48
432,10,1
433,10,2
434,10,3
435,10,4
436,10,5
437,10,6
438,10,7
439,10,8
440,10,9
441,10,10
442,10,11
443,10,12
444,10,13
445,10,14
446,10,15
447,10,16
448,10,17
449,10,18
450,10,19
451,10,20
452,10,21
453,10,22
454,10,23
455,10,24
456,10,25
457,10,26
458,10,27
459,10,28
460,10,29
461,10,30
462,10,31
463,10,32
464,10,33
465,10,34
466,10,35
467,10,36
468,10,37
469,10,38
470,10,39
471,10,40
472,10,41
473,10,42
474,10,43
475,10,44
476,10,45
477,10,46
478,10,47
479,10,48
480,11,1
481,11,2
482,11,3
483,11,4
484,11,5
485,11,6
486,11,7
487,11,8
488,11,9
489,11,10
490,11,11
491,11,12
492,11,13
493,11,14
494,11,15
495,11,16
496,11,17
497,11,18
498,11,19
499,11,20
500,11,21
501,11,22
502,11,23
503,11,24
504,11,25
505,11,26
506,11,27
507,11,28
508,11,29
509,11,30
510,11,31
511,11,32
512,11,33
513,11,34
514,11,35
515,11,36
516,11,37
517,11,38
518,11,39
519,11,40
520,11,41
521,11,42
522,11,43
523,11,44
524,11,45
525,11,46
526,11,47
527,11,48
528,12,1
529,12,2
530,12,3
531,12,4
532,12,5
533,12,6
534,12,7
535,12,8
536,12,9
537,12,10
538,12,11
539,12,12
540,12,13
541,12,14
542,12,15
543,12,16
544,12,17
545,12,18
546,12,19
547,12,20
548,12,21
549,12,22
550,12,23
551,12,24
552,12,25
553,12,26
554,12,27
555,12,28
556,12,29
557,12,30
558,12,31
559,12,32
560,12,33
561,12,34
562,12,35
563,12,36
564,12,37
565,12,38
566,12,39
567,12,40
568,12,41
569,12,42
570,12,43
571,12,44
572,12,45
573,12,46
574,12,47
575,12,48
576,13,1
577,13,2
578,13,3
579,13,4
580,13,5
581,13,6
582,13,7
583,13,8
584,13,9
585,13,10
586,13,11
587,13,12
588,13,13
589,13,14
590,13,15
591,13,16
592,13,17
593,13,18
594,13,19
595,13,20
596,13,21
597,13,22
598,13,23
599,13,24
600,13,25
601,13,26
602,13,27
603,13,28
604,13,29
605,13,30
606,13,31
607,13,32
608,13,33
609,13,34
610,13,35
611,13,36
612,13,37
613,13,38
614,13,39
615,13,40
616,13,41
617,13,42
618,13,43
619,13,44
620,13,45
621,13,46
622,13,47
623,13,48
624,14,1
625,14,2
626,14,3
627,14,4
628,14,5
629,14,6
630,14,7
631,14,8
632,14,9
633,14,10
634,14,11
635,14,12
636,14,13
637,14,14
638,14,15
639,14,16
640,14,17
641,14,18
642,14,19
643,14,20
644,14,21
645,14,22
646,14,23
647,14,24
648,14,25
649,14,26
650,14,27
651,14,28
652,14,29
653,14,30
654,14,31
655,14,32
656,14,33
657,14,34
658,14,35
659,14,36
660,14,37
661,14,38
662,14,39
663,14,40
664,14,41
665,14,42
666,14,43
667,14,44
668,14,45
669,14,46
670,14,47
671,14,48
672,15,1
673,15,2
674,15,3
675,15,4
676,15,5
677,15,6
678,15,7
679,15,8
680,15,9
681,15,10
682,15,11
683,15,12
684,15,13
685,15,14
686,15,15
687,15,16
688,15,17
689,15,18
690,15,19
691,15,20
692,15,21
693,15,22
694,15,23
695,15,24
696,15,25
697,15,26
698,15,27
699,15,28
700,15,29
701,15,30
702,15,31
703,15,32
704,15,33
705,15,34
706,15,35
707,15,36
708,15,37
709,15,38
710,15,39
711,15,40
712,15,41
713,15,42
714,15,43
715,15,44
716,15,45
717,15,46
718,15,47
719,15,48
720,16,1
721,16,2
722,16,3
723,16,4
724,16,5
725,16,6
726,16,7
727,16,8
728,16,9
729,16,10
730,16,11
731,16,12
732,16,13
733,16,14
734,16,15
735,16,16
736,16,17
737,16,18
738,16,19
739,16,20
740,16,21
741,16,22
742,16,23
743,16,24
744,16,25
745,16,26
746,16,27
747,16,28
748,16,29
749,16,30
750,16,31
751,16,32
752,16,33
753,16,34
754,16,35
755,16,36
756,16,37
757,16,38
758,16,39
759,16,40
760,16,41
761,16,42
762,16,43
763,16,44
764,16,45
765,16,46
766,16,47
767,16,48
768,17,1
769,17,2
770,17,3
771,17,4
772,17,5
773,17,6
774,17,7
775,17,8
776,17,9
777,17,10
778,17,11
779,17,12
780,17,13
781,17,14
782,17,15
783,17,16
784,17,17
785,17,18
786,17,19
787,17,20
788,17,21
789,17,22
790,17,23
791,17,24
792,17,25
793,17,26
794,17,27
795,17,28
796,17,29
797,17,30
798,17,31
799,17,32
800,17,33
801,17,34
802,17,35
803,17,36
804,17,37
805,17,38
806,17,39
807,17,40
808,17,41
809,17,42
810,17,43
811,17,44
812,17,45
813,17,46
814,17,47
815,17,48
816,18,1
817,18,2
818,18,3
819,18,4
820,18,5
821,18,6
822,18,7
823,18,8
824,18,9
825,18,10
826,18,11
827,18,12
828,18,13
829,18,14
830,18,15
831,18,16
832,18,17
833,18,18
834,18,19
835,18,20
836,18,21
837,18,22
838,18,23
839,18,24
840,18,25
841,18,26
842,18,27
843,18,28
844,18,29
845,18,30
846,18,31
847,18,32
848,18,33
849,18,34
850,18,35
851,18,36
852,18,37
853,18,38
854,18,39
855,18,40
856,18,41
857,18,42
858,18,43
859,18,44
860,18,45
861,18,46
862,18,47
863,18,48
864,19,1
865,19,2
866,19,3
867,19,4
868,19,5
869,19,6
870,19,7
871,19,8
872,19,9
873,19,10
874,19,11
875,19,12
876,19,13
877,19,14
878,19,15
879,19,16
880,19,17
881,19,18
882,19,19
883,19,20
884,19,21
885,19,22
886,19,23
887,19,24
888,19,25
889,19,26
890,19,27
891,19,28
892,19,29
893,19,30
894,19,31
895,19,32
896,19,33
897,19,34
898,19,35
899,19,36
900,19,37
901,19,38
902,19,39
903,19,40
904,19,41
905,19,42
906,19,43
907,19,44
908,19,45
909,19,46
910,19,47
911,19,48
912,20,1
913,20,2
914,20,3
915,20,4
916,20,5
917,20,6
918,20,7
919,20,8
920,20,9
921,20,10
922,20,11
923,20,12
924,20,13
925,20,14
926,20,15
927,20,16
928,20,17
929,20,18
930,20,19
931,20,20
932,20,21
933,20,22
934,20,23
935,20,24
936,20,25
937,20,26
938,20,27
939,20,28
940,20,29
941,20,30
942,20,31
943,20,32
944,20,33
945,20,34
946,20,35
947,20,36
948,20,37
949,20,38
950,20,39
951,20,40
952,20,41
953,20,42
954,20,43
955,20,44
956,20,45
957,20,46
958,20,47
959,20,48
960,21,1
961,21,2
962,21,3
963,21,4
964,21,5
965,21,6
966,21,7
967,21,8
968,21,9
969,21,10
970,21,11
971,21,12
972,21,13
973,21,14
974,21,15
975,21,16
976,21,17
977,21,18
978,21,19
979,21,20
980,21,21
981,21,22
982,21,23
983,21,24
984,21,25
985,21,26
986,21,27
987,21,28
988,21,29
989,21,30
990,21,31
991,21,32
992,21,33
993,21,34
994,21,35
995,21,36
996,21,37
997,21,38
998,21,39
999,21,40
1000,21,41
1001,21,42
1002,21,43
1003,21,44
1004,21,45
1005,21,46
1006,21,47
1007,21,48
1008,22,1
1009,22,2
1010,22,3
1011,22,4
1012,22,5
1013,22,6
1014,22,7
1015,22,8
1016,22,9
1017,22,10
1018,22,11
1019,22,12
1020,22,13
1021,22,14
1022,22,15
1023,22,16
1024,22,17
1025,22,18
1026,22,19
1027,22,20
1028,22,21
1029,22,22
1030,22,23
1031,22,24
1032,22,25
1033,22,26
1034,22,27
1035,22,28
1036,22,29
1037,22,30
1038,22,31
1039,22,32
1040,22,33
1041,22,34
1042,22,35
1043,22,36
1044,22,37
1045,22,38
1046,22,39
1047,22,40
1048,22,41
1049,22,42
1050,22,43
1051,22,44
1052,22,45
1053,22,46
1054,22,47
1055,22,48
1056,23,1
1057,23,2
1058,23,3
1059,23,4
1060,23,5
1061,23,6
1062,23,7
1063,23,8
1064,23,9
1065,23,10
1066,23,11
1067,23,12
1068,23,13
1069,23,14
1070,23,15
1071,23,16
1072,23,17
1073,23,18
1074,23,19
1075,23,20
1076,23,21
1077,23,22
1078,23,23
1079,23,24
1080,23,25
1081,23,26
1082,23,27
1083,23,28
1084,23,29
1085,23,30
1086,23,31
1087,23,32
1088,23,33
1089,23,34
1090,23,35
1091,23,36
1092,23,37
1093,23,38
1094,23,39
1095,23,40
1096,23,41
1097,23,42
1098,23,43
1099,23,44
1100,23,45
1101,23,46
1102,23,47
1103,23,48
1104,24,1
1105,24,2
1106,24,3
1107,24,4
1108,24,5
1109,24,6
1110,24,7
1111,24,8
1112,24,9
1113,24,10
1114,24,11
1115,24,12
1116,24,13
1117,24,14
1118,24,15
1119,24,16
1120,24,17
1121,24,18
1122,24,19
1123,24,20
1124,24,21
1125,24,22
1126,24,23
1127,24,24
1128,24,25
1129,24,26
1130,24,27
1131,24,28
1132,24,29
1133,24,30
1134,24,31
1135,24,32
1136,24,33
1137,24,34
1138,24,35
1139,24,36
1140,24,37
1141,24,38
1142,24,39
1143,24,40
1144,24,41
1145,24,42
1146,24,43
1147,24,44
1148,24,45
1149,24,46
1150,24,47
1151,24,48
1152,25,1
1153,25,2
1154,25,3
1155,25,4
1156,25,5
1157,25,6
1158,25,7
1159,25,8
1160,25,9
1161,25,10
1162,25,11
1163,25,12
1164,25,13
1165,25,14
1166,25,15
1167,25,16
1168,25,17
1169,25,18
1170,25,19
1171,25,20
1172,25,21
1173,25,22
1174,25,23
1175,25,24
1176,25,25
1177,25,26
1178,25,27
1179,25,28
1180,25,29
1181,25,30
1182,25,31
1183,25,32
1184,25,33
1185,25,34
1186,25,35
1187,25,36
1188,25,37
1189,25,38
1190,25,39
1191,25,40
1192,25,41
1193,25,42
1194,25,43
1195,25,44
1196,25,45
1197,25,46
1198,25,47
1199,25,48
1200,26,1
1201,26,2
1202,26,3
1203,26,4
1204,26,5
1205,26,6
1206,26,7
1207,26,8
1208,26,9
1209,26,10
1210,26,11
1211,26,12
1212,26,13
1213,26,14
1214,26,15
1215,26,16
1216,26,17
1217,26,18
1218,26,19
1219,26,20
1220,26,21
1221,26,22
1222,26,23
1223,26,24
1224,26,25
1225,26,26
1226,26,27
1227,26,28
1228,26,29
1229,26,30
1230,26,31
1231,26,32
1232,26,33
1233,26,34
1234,26,35
1235,26,36
1236,26,37
1237,26,38
1238,26,39
1239,26,40
1240,26,41
1241,26,42
1242,26,43
1243,26,44
1244,26,45
1245,26,46
1246,26,47
1247,26,48
1248,27,1
1249,27,2
1250,27,3
1251,27,4
1252,27,5
1253,27,6
1254,27,7
1255,27,8
1256,27,9
1257,27,10
1258,27,11
1259,27,12
1260,27,13
1261,27,14
1262,27,15
1263,27,16
1264,27,17
1265,27,18
1266,27,19
1267,27,20
1268,27,21
1269,27,22
1270,27,23
1271,27,24
1272,27,25
1273,27,26
1274,27,27
1275,27,28
1276,27,29
1277,27,30
1278,27,31
1279,27,32
1280,27,33
1281,27,34
1282,27,35
1283,27,36
1284,27,37
1285,27,38
1286,27,39
1287,27,40
1288,27,41
1289,27,42
1290,27,43
1291,27,44
1292,27,45
1293,27,46
1294,27,47
1295,27,48
1296,28,1
1297,28,2
1298,28,3
1299,28,4
1300,28,5
1301,28,6
1302,28,7
1303,28,8
1304,28,9
1305,28,10
1306,28,11
1307,28,12
1308,28,13
1309,28,14
1310,28,15
1311,28,16
1312,28,17
1313,28,18
1314,28,19
1315,28,20
1316,28,21
1317,28,22
1318,28,23
1319,28,24
1320,28,25
1321,28,26
1322,28,27
1323,28,28
1324,28,29
1325,28,30
1326,28,31
1327,28,32
1328,28,33
1329,28,34
1330,28,35
1331,28,36
1332,28,37
1333,28,38
1334,28,39
1335,28,40
1336,28,41
1337,28,42
1338,28,43
1339,28,44
1340,28,45
1341,28,46
1342,28,47
1343,28,48
1344,29,1
1345,29,2
1346,29,3
1347,29,4
1348,29,5
1349,29,6
1350,29,7
1351,29,8
1352,29,9
1353,29,10
1354,29,11
1355,29,12
1356,29,13
1357,29,14
1358,29,15
1359,29,16
1360,29,17
1361,29,18
1362,29,19
1363,29,20
1364,29,21
1365,29,22
1366,29,23
1367,29,24
1368,29,25
1369,29,26
1370,29,27
1371,29,28
1372,29,29
1373,29,30
1374,29,31
1375,29,32
1376,29,33
1377,29,34
1378,29,35
1379,29,36
1380,29,37
1381,29,38
1382,29,39
1383,29,40
1384,29,41
1385,29,42
1386,29,43
1387,29,44
1388,29,45
1389,29,46
1390,29,47
1391,29,48
1392,30,1
1393,30,2
1394,30,3
1395,30,4
1396,30,5
1397,30,6
1398,30,7
1399,30,8
1400,30,9
1401,30,10
1402,30,11
1403,30,12
1404,30,13
1405,30,14
1406,30,15
1407,30,16
1408,30,17
1409,30,18
1410,30,19
1411,30,20
1412,30,21
1413,30,22
1414,30,23
1415,30,24
1416,30,25
1417,30,26
1418,30,27
1419,30,28
1420,30,29
1421,30,30
1422,30,31
1423,30,32
1424,30,33
1425,30,34
1426,30,35
1427,30,36
1428,30,37
1429,30,38
1430,30,39
1431,30,40
1432,30,41
1433,30,42
1434,30,43
1435,30,44
1436,30,45
1437,30,46
1438,30,47
1439,30,48
1440,31,1
1441,31,2
1442,31,3
1443,31,4
1444,31,5
1445,31,6
1446,31,7
1447,31,8
1448,31,9
1449,31,10
1450,31,11
1451,31,12
1452,31,13
1453,31,14
1454,31,15
1455,31,16
1456,31,17
1457,31,18
1458,31,19
1459,31,20
1460,31,21
1461,31,22
1462,31,23
1463,31,24
1464,31,25
1465,31,26
1466,31,27
1467,31,28
1468,31,29
1469,31,30
1470,31,31
1471,31,32
1472,31,33
1473,31,34
1474,31,35
1475,31,36
1476,31,37
1477,31,38
1478,31,39
1479,31,40
1480,31,41
1481,31,42
1482,31,43
1483,31,44
1484,31,45
1485,31,46
1486,31,47
1487,31,48
1488,32,1
1489,32,2
1490,32,3
1491,32,4
1492,32,5
1493,32,6
1494,32,7
1495,32,8
1496,32,9
1497,32,10
1498,32,11
1499,32,12
1500,32,13
1501,32,14
1502,32,15
1503,32,16
1504,32,17
1505,32,18
1506,32,19
1507,32,20
1508,32,21
1509,32,22
1510,32,23
1511,32,24
1512,32,25
1513,32,26
1514,32,27
1515,32,28
1516,32,29
1517,32,30
1518,32,31
1519,32,32
1520,32,33
1521,32,34
1522,32,35
1523,32,36
1524,32,37
1525,32,38
1526,32,39
1527,32,40
1528,32,41
1529,32,42
1530,32,43
1531,32,44
1532,32,45
1533,32,46
1534,32,47
1535,32,48
1536,33,1
1537,33,2
1538,33,3
1539,33,4
1540,33,5
1541,33,6
1542,33,7
1543,33,8
1544,33,9
1545,33,10
1546,33,11
1547,33,12
1548,33,13
1549,33,14
1550,33,15
1551,33,16
1552,33,17
1553,33,18
1554,33,19
1555,33,20
1556,33,21
1557,33,22
1558,33,23
1559,33,24
1560,33,25
1561,33,26
1562,33,27
1563,33,28
1564,33,29
1565,33,30
1566,33,31
1567,33,32
1568,33,33
1569,33,34
1570,33,35
1571,33,36
1572,33,37
1573,33,38
1574,33,39
1575,33,40
1576,33,41
1577,33,42
1578,33,43
1579,33,44
1580,33,45
1581,33,46
1582,33,47
1583,33,48
1584,34,1
1585,34,2
1586,34,3
1587,34,4
1588,34,5
1589,34,6
1590,34,7
1591,34,8
1592,34,9
1593,34,10
1594,34,11
1595,34,12
1596,34,13
1597,34,14
1598,34,15
1599,34,16
1600,34,17
1601,34,18
1602,34,19
1603,34,20
1604,34,21
1605,34,22
1606,34,23
1607,34,24
1608,34,25
1609,34,26
1610,34,27
1611,34,28
1612,34,29
1613,34,30
1614,34,31
1615,34,32
1616,34,33
1617,34,34
1618,34,35
1619,34,36
1620,34,37
1621,34,38
1622,34,39
1623,34,40
1624,34,41
1625,34,42
1626,34,43
1627,34,44
1628,34,45
1629,34,46
1630,34,47
1631,34,48
1632,35,1
1633,35,2
1634,35,3
1635,35,4
1636,35,5
1637,35,6
1638,35,7
1639,35,8
1640,35,9
1641,35,10
1642,35,11
1643,35,12
1644,35,13
1645,35,14
1646,35,15
1647,35,16
1648,35,17
1649,35,18
1650,35,19
1651,35,20
1652,35,21
1653,35,22
1654,35,23
1655,35,24
1656,35,25
1657,35,26
1658,35,27
1659,35,28
1660,35,29
1661,35,30
1662,35,31
1663,35,32
1664,35,33
1665,35,34
1666,35,35
1667,35,36
1668,35,37
1669,35,38
1670,35,39
1671,35,40
1672,35,41
1673,35,42
1674,35,43
1675,35,44
1676,35,45
1677,35,46
1678,35,47
1679,35,48
1680,36,1
1681,36,2
1682,36,3
1683,36,4
1684,36,5
1685,36,6
1686,36,7
1687,36,8
1688,36,9
1689,36,10
1690,36,11
1691,36,12
1692,36,13
1693,36,14
1694,36,15
1695,36,16
1696,36,17
1697,36,18
1698,36,19
1699,36,20
1700,36,21
1701,36,22
1702,36,23
1703,36,24
1704,36,25
1705,36,26
1706,36,27
1707,36,28
1708,36,29
1709,36,30
1710,36,31
1711,36,32
1712,36,33
1713,36,34
1714,36,35
1715,36,36
1716,36,37
1717,36,38
1718,36,39
1719,36,40
1720,36,41
1721,36,42
1722,36,43
1723,36,44
1724,36,45
1725,36,46
1726,36,47
1727,36,48
1728,37,1
1729,37,2
1730,37,3
1731,37,4
1732,37,5
1733,37,6
1734,37,7
1735,37,8
1736,37,9
1737,37,10
1738,37,11
1739,37,12
1740,37,13
1741,37,14
1742,37,15
1743,37,16
1744,37,17
1745,37,18
1746,37,19
1747,37,20
1748,37,21
1749,37,22
1750,37,23
1751,37,24
1752,37,25
1753,37,26
1754,37,27
1755,37,28
1756,37,29
1757,37,30
1758,37,31
1759,37,32
1760,37,33
1761,37,34
1762,37,35
1763,37,36
1764,37,37
1765,37,38
1766,37,39
1767,37,40
1768,37,41
1769,37,42
1770,37,43
1771,37,44
1772,37,45
1773,37,46
1774,37,47
1775,37,48
1776,38,1
1777,38,2
1778,38,3
1779,38,4
1780,38,5
1781,38,6
1782,38,7
1783,38,8
1784,38,9
1785,38,10
1786,38,11
1787,38,12
1788,38,13
1789,38,14
1790,38,15
1791,38,16
1792,38,17
1793,38,18
1794,38,19
1795,38,20
1796,38,21
1797,38,22
1798,38,23
1799,38,24
1800,38,25
1801,38,26
1802,38,27
1803,38,28
1804,38,29
1805,38,30
1806,38,31
1807,38,32
1808,38,33
1809,38,34
1810,38,35
1811,38,36
1812,38,37
1813,38,38
1814,38,39
1815,38,40
1816,38,41
1817,38,42
1818,38,43
1819,38,44
1820,38,45
1821,38,46
1822,38,47
1823,38,48
1824,39,1
1825,39,2
1826,39,3
1827,39,4
1828,39,5
1829,39,6
1830,39,7
1831,39,8
1832,39,9
1833,39,10
1834,39,11
1835,39,12
1836,39,13
1837,39,14
1838,39,15
1839,39,16
1840,39,17
1841,39,18
1842,39,19
1843,39,20
1844,39,21
1845,39,22
1846,39,23
1847,39,24
1848,39,25
1849,39,26
1850,39,27
1851,39,28
1852,39,29
1853,39,30
1854,39,31
1855,39,32
1856,39,33
1857,39,34
1858,39,35
1859,39,36
1860,39,37
1861,39,38
1862,39,39
1863,39,40
1864,39,41
1865,39,42
1866,39,43
1867,39,44
1868,39,45
1869,39,46
1870,39,47
1871,39,48
1872,40,1
1873,40,2
1874,40,3
1875,40,4
1876,40,5
1877,40,6
1878,40,7
1879,40,8
1880,40,9
1881,40,10
1882,40,11
1883,40,12
1884,40,13
1885,40,14
1886,40,15
1887,40,16
1888,40,17
1889,40,18
1890,40,19
1891,40,20
1892,40,21
1893,40,22
1894,40,23
1895,40,24
1896,40,25
1897,40,26
1898,40,27
1899,40,28
1900,40,29
1901,40,30
1902,40,31
1903,40,32
1904,40,33
1905,40,34
1906,40,35
1907,40,36
1908,40,37
1909,40,38
1910,40,39
1911,40,40
1912,40,41
1913,40,42
1914,40,43
1915,40,44
1916,40,45
1917,40,46
1918,40,47
1919,40,48
1920,41,1
1921,41,2
1922,41,3
1923,41,4
1924,41,5
1925,41,6
1926,41,7
1927,41,8
1928,41,9
1929,41,10
1930,41,11
1931,41,12
1932,41,13
1933,41,14
1934,41,15
1935,41,16
1936,41,17
1937,41,18
1938,41,19
1939,41,20
1940,41,21
1941,41,22
1942,41,23
1943,41,24
1944,41,25
1945,41,26
1946,41,27
1947,41,28
1948,41,29
1949,41,30
1950,41,31
1951,41,32
1952,41,33
1953,41,34
1954,41,35
1955,41,36
1956,41,37
1957,41,38
1958,41,39
1959,41,40
1960,41,41
1961,41,42
1962,41,43
1963,41,44
1964,41,45
1965,41,46
1966,41,47
1967,41,48
1968,42,1
1969,42,2
1970,42,3
1971,42,4
1972,42,5
1973,42,6
1974,42,7
1975,42,8
1976,42,9
1977,42,10
1978,42,11
1979,42,12
1980,42,13
1981,42,14
1982,42,15
1983,42,16
1984,42,17
1985,42,18
1986,42,19
1987,42,20
1988,42,21
1989,42,22
1990,42,23
1991,42,24
1992,42,25
1993,42,26
1994,42,27
1995,42,28
1996,42,29
1997,42,30
1998,42,31
1999,42,32
2000,42,33
2001,42,34
2002,42,35
2003,42,36
2004,42,37
2005,42,38
2006,42,39
2007,42,40
2008,42,41
2009,42,42
2010,42,43
2011,42,44
2012,42,45
2013,42,46
2014,42,47
2015,42,48
2016,43,1
2017,43,2
2018,43,3
2019,43,4
2020,43,5
2021,43,6
2022,43,7
2023,43,8
2024,43,9
2025,43,10
2026,43,11
2027,43,12
2028,43,13
2029,43,14
2030,43,15
2031,43,16
2032,43,17
2033,43,18
2034,43,19
2035,43,20
2036,43,21
2037,43,22
2038,43,23
2039,43,24
2040,43,25
2041,43,26
2042,43,27
2043,43,28
2044,43,29
2045,43,30
2046,43,31
2047,43,32
2048,43,33
2049,43,34
2050,43,35
2051,43,36
2052,43,37
2053,43,38
2054,43,39
2055,43,40
2056,43,41
2057,43,42
2058,43,43
2059,43,44
2060,43,45
2061,43,46
2062,43,47
2063,43,48
2064,44,1
2065,44,2
2066,44,3
2067,44,4
2068,44,5
2069,44,6
2070,44,7
2071,44,8
2072,44,9
2073,44,10
2074,44,11
2075,44,12
2076,44,13
2077,44,14
2078,44,15
2079,44,16
2080,44,17
2081,44,18
2082,44,19
2083,44,20
2084,44,21
2085,44,22
2086,44,23
2087,44,24
2088,44,25
2089,44,26
2090,44,27
2091,44,28
2092,44,29
2093,44,30
2094,44,31
2095,44,32
2096,44,33
2097,44,34
2098,44,35
2099,44,36
2100,44,37
2101,44,38
2102,44,39
2103,44,40
2104,44,41
2105,44,42
2106,44,43
2107,44,44
2108,44,45
2109,44,46
2110,44,47
2111,44,48
2112,45,1
2113,45,2
2114,45,3
2115,45,4
2116,45,5
2117,45,6
2118,45,7
2119,45,8
2120,45,9
2121,45,10
2122,45,11
2123,45,12
2124,45,13
2125,45,14
2126,45,15
2127,45,16
2128,45,17
2129,45,18
2130,45,19
2131,45,20
2132,45,21
2133,45,22
2134,45,23
2135,45,24
2136,45,25
2137,45,26
2138,45,27
2139,45,28
2140,45,29
