,tour_id,tour_type,visitor_travel_type,number_of_participants,auto_available,income,tour_category,tour_num,tour_count,origin,household_id,person_id
52,53,recreation,personal,6,1,1,non-mandatory,1,1,519,41,41
53,54,recreation,personal,5,1,2,non-mandatory,1,2,519,42,42
54,55,recreation,personal,2,1,2,non-mandatory,2,2,519,42,42
55,56,recreation,personal,3,1,0,non-mandatory,1,1,521,43,43
56,57,dining,personal,7,0,2,non-mandatory,1,2,521,44,44
57,58,recreation,personal,4,0,2,non-mandatory,2,2,521,44,44
58,59,work,personal,7,1,4,non-mandatory,1,1,521,45,45
59,60,dining,personal,5,1,4,non-mandatory,1,1,521,46,46
60,61,recreation,personal,4,1,1,non-mandatory,1,1,522,47,47
61,62,recreation,personal,3,1,1,non-mandatory,1,2,522,48,48
62,63,recreation,personal,4,0,2,non-mandatory,2,2,522,48,48
63,64,recreation,personal,2,1,0,non-mandatory,1,1,523,49,49
64,65,recreation,personal,3,1,1,non-mandatory,1,2,523,50,50
65,66,recreation,personal,4,1,1,non-mandatory,2,2,523,50,50
66,67,dining,personal,7,0,2,non-mandatory,1,3,523,51,51
67,68,dining,personal,2,1,1,non-mandatory,2,3,523,51,51
68,69,recreation,personal,4,1,1,non-mandatory,3,3,523,51,51
69,70,dining,personal,7,0,0,non-mandatory,1,1,523,52,52
70,71,work,personal,4,0,0,non-mandatory,1,1,523,53,53
71,72,recreation,personal,5,1,1,non-mandatory,1,1,524,54,54
72,73,recreation,personal,4,0,1,non-mandatory,1,1,525,55,55
73,74,dining,personal,2,1,1,non-mandatory,1,2,525,56,56
74,75,recreation,personal,6,1,1,non-mandatory,2,2,525,56,56
75,76,work,personal,1,1,1,non-mandatory,1,1,525,57,57
76,77,recreation,personal,5,1,0,non-mandatory,1,1,528,58,58
77,78,recreation,personal,2,0,0,non-mandatory,1,2,528,59,59
78,79,recreation,personal,3,0,0,non-mandatory,2,2,528,59,59
79,80,recreation,personal,7,0,2,non-mandatory,1,1,529,60,60
80,81,dining,personal,4,1,1,non-mandatory,1,2,529,61,61
81,82,recreation,personal,6,1,0,non-mandatory,2,2,529,61,61
82,83,work,personal,4,1,3,non-mandatory,1,1,529,62,62
83,84,recreation,personal,4,1,0,non-mandatory,1,1,530,63,63
84,85,recreation,personal,2,1,0,non-mandatory,1,1,531,64,64
85,86,recreation,personal,3,1,1,non-mandatory,1,1,532,65,65
86,87,recreation,personal,4,1,3,non-mandatory,1,1,533,66,66
87,88,dining,personal,3,1,2,non-mandatory,1,3,536,67,67
88,89,dining,personal,3,1,1,non-mandatory,2,3,536,67,67
89,90,recreation,personal,5,1,1,non-mandatory,3,3,536,67,67
90,91,recreation,personal,3,0,1,non-mandatory,1,1,537,68,68
91,92,recreation,personal,4,0,2,non-mandatory,1,2,537,69,69
92,93,recreation,personal,3,0,2,non-mandatory,2,2,537,69,69
93,94,dining,personal,7,1,1,non-mandatory,1,2,537,70,70
94,95,recreation,personal,1,0,1,non-mandatory,2,2,537,70,70
95,96,recreation,personal,3,0,2,non-mandatory,1,1,538,71,71
96,97,recreate,personal,1,1,1,non-mandatory,1,1,539,72,72
97,98,recreate,personal,5,0,0,non-mandatory,1,1,540,73,73
98,99,dining,personal,2,1,4,non-mandatory,1,2,540,74,74
99,100,recreate,personal,3,1,0,non-mandatory,2,2,540,74,74
100,101,recreate,personal,5,1,1,non-mandatory,1,1,541,75,75
101,102,dining,personal,3,1,2,non-mandatory,1,2,541,76,76
102,103,recreate,personal,4,1,1,non-mandatory,2,2,541,76,76
103,104,recreate,personal,4,1,2,non-mandatory,1,1,542,77,77
104,105,work,personal,3,1,1,non-mandatory,1,1,542,78,78
105,106,dining,personal,3,0,2,non-mandatory,1,1,543,79,79
106,107,recreate,personal,5,1,1,non-mandatory,1,1,544,80,80
107,108,recreate,personal,2,1,0,non-mandatory,1,1,545,81,81
108,109,recreate,personal,1,0,2,non-mandatory,1,2,545,82,82
109,110,recreate,personal,6,0,3,non-mandatory,2,2,545,82,82
110,111,recreate,personal,2,0,0,non-mandatory,1,1,546,83,83
111,112,recreate,personal,5,1,0,non-mandatory,1,1,549,84,84
