tripmode,tourmode,purpose,value,grp_var
5,Walk-Transit,schl,0,schltourmode6
6,Walk-Transit,schl,10526,schltourmode6
7,Walk-Transit,schl,0,schltourmode6
8,Walk-Transit,schl,0,schltourmode6
13,Walk-Transit,schl,0,schltourmode6
1,PNR-Transit,schl,0,schltourmode7
2,PNR-Transit,schl,0,schltourmode7
3,PNR-Transit,schl,0,schltourmode7
4,PNR-Transit,schl,0,schltourmode7
5,PNR-Transit,schl,0,schltourmode7
6,PNR-Transit,schl,22,schltourmode7
7,PNR-Transit,schl,32,schltourmode7
8,PNR-Transit,schl,0,schltourmode7
13,PNR-Transit,schl,0,schltourmode7
1,KNR-Transit,schl,0,schltourmode8
2,KNR-Transit,schl,0,schltourmode8
3,KNR-Transit,schl,355,schltourmode8
4,KNR-Transit,schl,355,schltourmode8
5,KNR-Transit,schl,0,schltourmode8
6,KNR-Transit,schl,777,schltourmode8
7,KNR-Transit,schl,0,schltourmode8
8,KNR-Transit,schl,905,schltourmode8
13,KNR-Transit,schl,0,schltourmode8
1,School Bus,schl,756,schltourmode13
2,School Bus,schl,8671,schltourmode13
3,School Bus,schl,18278,schltourmode13
4,School Bus,schl,241,schltourmode13
5,School Bus,schl,0,schltourmode13
6,School Bus,schl,0,schltourmode13
7,School Bus,schl,0,schltourmode13
8,School Bus,schl,0,schltourmode13
13,School Bus,schl,115273,schltourmode13
1,Total,schl,69776,schlTotal
2,Total,schl,668402,schlTotal
3,Total,schl,659791,schlTotal
4,Total,schl,129429,schlTotal
5,Total,schl,15102,schlTotal
6,Total,schl,11324,schlTotal
7,Total,schl,32,schlTotal
8,Total,schl,905,schlTotal
13,Total,schl,115273,schlTotal
1,Auto SOV,imain,1549383,imaintourmode1
2,Auto SOV,imain,0,imaintourmode1
3,Auto SOV,imain,0,imaintourmode1
4,Auto SOV,imain,0,imaintourmode1
5,Auto SOV,imain,0,imaintourmode1
6,Auto SOV,imain,0,imaintourmode1
7,Auto SOV,imain,0,imaintourmode1
8,Auto SOV,imain,0,imaintourmode1
13,Auto SOV,imain,0,imaintourmode1
1,Auto 2 Person,imain,416760,imaintourmode2
2,Auto 2 Person,imain,932002,imaintourmode2
3,Auto 2 Person,imain,5374,imaintourmode2
4,Auto 2 Person,imain,19693,imaintourmode2
5,Auto 2 Person,imain,0,imaintourmode2
6,Auto 2 Person,imain,0,imaintourmode2
7,Auto 2 Person,imain,0,imaintourmode2
8,Auto 2 Person,imain,0,imaintourmode2
13,Auto 2 Person,imain,0,imaintourmode2
1,Auto 3+ Person,imain,178084,imaintourmode3
2,Auto 3+ Person,imain,335224,imaintourmode3
3,Auto 3+ Person,imain,1178581,imaintourmode3
4,Auto 3+ Person,imain,12868,imaintourmode3
5,Auto 3+ Person,imain,0,imaintourmode3
6,Auto 3+ Person,imain,0,imaintourmode3
7,Auto 3+ Person,imain,0,imaintourmode3
8,Auto 3+ Person,imain,0,imaintourmode3
13,Auto 3+ Person,imain,0,imaintourmode3
1,Walk,imain,0,imaintourmode4
2,Walk,imain,0,imaintourmode4
3,Walk,imain,0,imaintourmode4
4,Walk,imain,300138,imaintourmode4
5,Walk,imain,0,imaintourmode4
6,Walk,imain,0,imaintourmode4
7,Walk,imain,0,imaintourmode4
8,Walk,imain,0,imaintourmode4
13,Walk,imain,0,imaintourmode4
1,Bike/Moped,imain,828,imaintourmode5
2,Bike/Moped,imain,303,imaintourmode5
3,Bike/Moped,imain,116,imaintourmode5
4,Bike/Moped,imain,454,imaintourmode5
5,Bike/Moped,imain,13057,imaintourmode5
6,Bike/Moped,imain,0,imaintourmode5
7,Bike/Moped,imain,0,imaintourmode5
8,Bike/Moped,imain,0,imaintourmode5
13,Bike/Moped,imain,0,imaintourmode5
1,Walk-Transit,imain,0,imaintourmode6
2,Walk-Transit,imain,0,imaintourmode6
3,Walk-Transit,imain,0,imaintourmode6
4,Walk-Transit,imain,0,imaintourmode6
5,Walk-Transit,imain,0,imaintourmode6
6,Walk-Transit,imain,26111,imaintourmode6
7,Walk-Transit,imain,0,imaintourmode6
8,Walk-Transit,imain,0,imaintourmode6
13,Walk-Transit,imain,0,imaintourmode6
1,PNR-Transit,imain,0,imaintourmode7
2,PNR-Transit,imain,0,imaintourmode7
3,PNR-Transit,imain,0,imaintourmode7
4,PNR-Transit,imain,0,imaintourmode7
5,PNR-Transit,imain,0,imaintourmode7
6,PNR-Transit,imain,35,imaintourmode7
7,PNR-Transit,imain,376,imaintourmode7
8,PNR-Transit,imain,0,imaintourmode7
13,PNR-Transit,imain,0,imaintourmode7
1,KNR-Transit,imain,0,imaintourmode8
2,KNR-Transit,imain,540,imaintourmode8
3,KNR-Transit,imain,2029,imaintourmode8
4,KNR-Transit,imain,25,imaintourmode8
5,KNR-Transit,imain,0,imaintourmode8
6,KNR-Transit,imain,92,imaintourmode8
7,KNR-Transit,imain,0,imaintourmode8
8,KNR-Transit,imain,2106,imaintourmode8
13,KNR-Transit,imain,0,imaintourmode8
1,School Bus,imain,0,imaintourmode13
2,School Bus,imain,0,imaintourmode13
3,School Bus,imain,0,imaintourmode13
4,School Bus,imain,0,imaintourmode13
5,School Bus,imain,0,imaintourmode13
6,School Bus,imain,0,imaintourmode13
7,School Bus,imain,0,imaintourmode13
8,School Bus,imain,0,imaintourmode13
13,School Bus,imain,0,imaintourmode13
1,Total,imain,2145054,imainTotal
2,Total,imain,1268069,imainTotal
3,Total,imain,1186101,imainTotal
4,Total,imain,333179,imainTotal
5,Total,imain,13057,imainTotal
6,Total,imain,26238,imainTotal
7,Total,imain,376,imainTotal
8,Total,imain,2106,imainTotal
13,Total,imain,0,imainTotal
1,Auto SOV,idisc,510368,idisctourmode1
2,Auto SOV,idisc,0,idisctourmode1
3,Auto SOV,idisc,0,idisctourmode1
4,Auto SOV,idisc,0,idisctourmode1
5,Auto SOV,idisc,0,idisctourmode1
6,Auto SOV,idisc,0,idisctourmode1
7,Auto SOV,idisc,0,idisctourmode1
8,Auto SOV,idisc,0,idisctourmode1
13,Auto SOV,idisc,0,idisctourmode1
1,Auto 2 Person,idisc,76364,idisctourmode2
2,Auto 2 Person,idisc,286506,idisctourmode2
3,Auto 2 Person,idisc,761,idisctourmode2
4,Auto 2 Person,idisc,23599,idisctourmode2
5,Auto 2 Person,idisc,0,idisctourmode2
6,Auto 2 Person,idisc,0,idisctourmode2
7,Auto 2 Person,idisc,0,idisctourmode2
8,Auto 2 Person,idisc,0,idisctourmode2
13,Auto 2 Person,idisc,0,idisctourmode2
1,Auto 3+ Person,idisc,26021,idisctourmode3
2,Auto 3+ Person,idisc,51233,idisctourmode3
3,Auto 3+ Person,idisc,228546,idisctourmode3
4,Auto 3+ Person,idisc,14348,idisctourmode3
5,Auto 3+ Person,idisc,0,idisctourmode3
6,Auto 3+ Person,idisc,0,idisctourmode3
7,Auto 3+ Person,idisc,0,idisctourmode3
8,Auto 3+ Person,idisc,0,idisctourmode3
13,Auto 3+ Person,idisc,0,idisctourmode3
1,Walk,idisc,0,idisctourmode4
2,Walk,idisc,0,idisctourmode4
3,Walk,idisc,0,idisctourmode4
4,Walk,idisc,197596,idisctourmode4
5,Walk,idisc,0,idisctourmode4
6,Walk,idisc,0,idisctourmode4
7,Walk,idisc,0,idisctourmode4
8,Walk,idisc,0,idisctourmode4
13,Walk,idisc,0,idisctourmode4
1,Bike/Moped,idisc,2744,idisctourmode5
2,Bike/Moped,idisc,2306,idisctourmode5
3,Bike/Moped,idisc,539,idisctourmode5
4,Bike/Moped,idisc,1377,idisctourmode5
5,Bike/Moped,idisc,24917,idisctourmode5
6,Bike/Moped,idisc,0,idisctourmode5
7,Bike/Moped,idisc,0,idisctourmode5
8,Bike/Moped,idisc,0,idisctourmode5
13,Bike/Moped,idisc,0,idisctourmode5
1,Walk-Transit,idisc,0,idisctourmode6
2,Walk-Transit,idisc,818,idisctourmode6
3,Walk-Transit,idisc,430,idisctourmode6
4,Walk-Transit,idisc,1933,idisctourmode6
5,Walk-Transit,idisc,6,idisctourmode6
6,Walk-Transit,idisc,17741,idisctourmode6
7,Walk-Transit,idisc,0,idisctourmode6
8,Walk-Transit,idisc,0,idisctourmode6
13,Walk-Transit,idisc,0,idisctourmode6
1,PNR-Transit,idisc,395,idisctourmode7
2,PNR-Transit,idisc,593,idisctourmode7
3,PNR-Transit,idisc,666,idisctourmode7
4,PNR-Transit,idisc,541,idisctourmode7
5,PNR-Transit,idisc,129,idisctourmode7
6,PNR-Transit,idisc,181,idisctourmode7
7,PNR-Transit,idisc,417,idisctourmode7
8,PNR-Transit,idisc,0,idisctourmode7
13,PNR-Transit,idisc,0,idisctourmode7
1,KNR-Transit,idisc,0,idisctourmode8
2,KNR-Transit,idisc,992,idisctourmode8
3,KNR-Transit,idisc,3078,idisctourmode8
4,KNR-Transit,idisc,570,idisctourmode8
5,KNR-Transit,idisc,0,idisctourmode8
6,KNR-Transit,idisc,2410,idisctourmode8
7,KNR-Transit,idisc,0,idisctourmode8
8,KNR-Transit,idisc,4424,idisctourmode8
13,KNR-Transit,idisc,0,idisctourmode8
1,School Bus,idisc,0,idisctourmode13
2,School Bus,idisc,0,idisctourmode13
3,School Bus,idisc,0,idisctourmode13
4,School Bus,idisc,0,idisctourmode13
5,School Bus,idisc,0,idisctourmode13
6,School Bus,idisc,0,idisctourmode13
7,School Bus,idisc,0,idisctourmode13
8,School Bus,idisc,0,idisctourmode13
13,School Bus,idisc,0,idisctourmode13
1,Total,idisc,615892,idiscTotal
2,Total,idisc,342448,idiscTotal
3,Total,idisc,234020,idiscTotal
4,Total,idisc,239963,idiscTotal
5,Total,idisc,25052,idiscTotal
6,Total,idisc,20331,idiscTotal
7,Total,idisc,417,idiscTotal
8,Total,idisc,4424,idiscTotal
13,Total,idisc,0,idiscTotal
1,Auto SOV,jmain,0,jmaintourmode1
2,Auto SOV,jmain,0,jmaintourmode1
3,Auto SOV,jmain,0,jmaintourmode1
4,Auto SOV,jmain,0,jmaintourmode1
5,Auto SOV,jmain,0,jmaintourmode1
6,Auto SOV,jmain,0,jmaintourmode1
7,Auto SOV,jmain,0,jmaintourmode1
8,Auto SOV,jmain,0,jmaintourmode1
13,Auto SOV,jmain,0,jmaintourmode1
1,Auto 2 Person,jmain,0,jmaintourmode2
2,Auto 2 Person,jmain,185399,jmaintourmode2
3,Auto 2 Person,jmain,0,jmaintourmode2
4,Auto 2 Person,jmain,524,jmaintourmode2
5,Auto 2 Person,jmain,0,jmaintourmode2
6,Auto 2 Person,jmain,0,jmaintourmode2
7,Auto 2 Person,jmain,0,jmaintourmode2
8,Auto 2 Person,jmain,0,jmaintourmode2
13,Auto 2 Person,jmain,0,jmaintourmode2
1,Auto 3+ Person,jmain,0,jmaintourmode3
2,Auto 3+ Person,jmain,6209,jmaintourmode3
3,Auto 3+ Person,jmain,73923,jmaintourmode3
4,Auto 3+ Person,jmain,552,jmaintourmode3
5,Auto 3+ Person,jmain,0,jmaintourmode3
6,Auto 3+ Person,jmain,0,jmaintourmode3
7,Auto 3+ Person,jmain,0,jmaintourmode3
8,Auto 3+ Person,jmain,0,jmaintourmode3
13,Auto 3+ Person,jmain,0,jmaintourmode3
1,Walk,jmain,0,jmaintourmode4
2,Walk,jmain,0,jmaintourmode4
3,Walk,jmain,0,jmaintourmode4
4,Walk,jmain,6614,jmaintourmode4
5,Walk,jmain,0,jmaintourmode4
6,Walk,jmain,0,jmaintourmode4
7,Walk,jmain,0,jmaintourmode4
8,Walk,jmain,0,jmaintourmode4
13,Walk,jmain,0,jmaintourmode4
1,Bike/Moped,jmain,0,jmaintourmode5
2,Bike/Moped,jmain,64,jmaintourmode5
3,Bike/Moped,jmain,0,jmaintourmode5
4,Bike/Moped,jmain,0,jmaintourmode5
5,Bike/Moped,jmain,208,jmaintourmode5
6,Bike/Moped,jmain,0,jmaintourmode5
7,Bike/Moped,jmain,0,jmaintourmode5
8,Bike/Moped,jmain,0,jmaintourmode5
13,Bike/Moped,jmain,0,jmaintourmode5
1,Walk-Transit,jmain,0,jmaintourmode6
2,Walk-Transit,jmain,162,jmaintourmode6
3,Walk-Transit,jmain,0,jmaintourmode6
4,Walk-Transit,jmain,3378,jmaintourmode6
5,Walk-Transit,jmain,0,jmaintourmode6
6,Walk-Transit,jmain,4172,jmaintourmode6
7,Walk-Transit,jmain,0,jmaintourmode6
8,Walk-Transit,jmain,0,jmaintourmode6
13,Walk-Transit,jmain,0,jmaintourmode6
1,PNR-Transit,jmain,0,jmaintourmode7
2,PNR-Transit,jmain,0,jmaintourmode7
3,PNR-Transit,jmain,0,jmaintourmode7
4,PNR-Transit,jmain,0,jmaintourmode7
5,PNR-Transit,jmain,0,jmaintourmode7
6,PNR-Transit,jmain,0,jmaintourmode7
7,PNR-Transit,jmain,0,jmaintourmode7
8,PNR-Transit,jmain,0,jmaintourmode7
13,PNR-Transit,jmain,0,jmaintourmode7
1,KNR-Transit,jmain,0,jmaintourmode8
2,KNR-Transit,jmain,0,jmaintourmode8
3,KNR-Transit,jmain,0,jmaintourmode8
4,KNR-Transit,jmain,0,jmaintourmode8
5,KNR-Transit,jmain,0,jmaintourmode8
6,KNR-Transit,jmain,0,jmaintourmode8
7,KNR-Transit,jmain,0,jmaintourmode8
8,KNR-Transit,jmain,0,jmaintourmode8
13,KNR-Transit,jmain,0,jmaintourmode8
1,School Bus,jmain,0,jmaintourmode13
2,School Bus,jmain,0,jmaintourmode13
3,School Bus,jmain,0,jmaintourmode13
4,School Bus,jmain,0,jmaintourmode13
5,School Bus,jmain,0,jmaintourmode13
6,School Bus,jmain,0,jmaintourmode13
7,School Bus,jmain,0,jmaintourmode13
8,School Bus,jmain,0,jmaintourmode13
13,School Bus,jmain,0,jmaintourmode13
1,Total,jmain,0,jmainTotal
2,Total,jmain,191835,jmainTotal
3,Total,jmain,73923,jmainTotal
4,Total,jmain,11068,jmainTotal
5,Total,jmain,208,jmainTotal
6,Total,jmain,4172,jmainTotal
7,Total,jmain,0,jmainTotal
8,Total,jmain,0,jmainTotal
13,Total,jmain,0,jmainTotal
1,Auto SOV,jdisc,0,jdisctourmode1
2,Auto SOV,jdisc,0,jdisctourmode1
3,Auto SOV,jdisc,0,jdisctourmode1
4,Auto SOV,jdisc,0,jdisctourmode1
5,Auto SOV,jdisc,0,jdisctourmode1
6,Auto SOV,jdisc,0,jdisctourmode1
7,Auto SOV,jdisc,0,jdisctourmode1
8,Auto SOV,jdisc,0,jdisctourmode1
13,Auto SOV,jdisc,0,jdisctourmode1
1,Auto 2 Person,jdisc,0,jdisctourmode2
2,Auto 2 Person,jdisc,116911,jdisctourmode2
3,Auto 2 Person,jdisc,0,jdisctourmode2
4,Auto 2 Person,jdisc,2368,jdisctourmode2
5,Auto 2 Person,jdisc,0,jdisctourmode2
6,Auto 2 Person,jdisc,0,jdisctourmode2
7,Auto 2 Person,jdisc,0,jdisctourmode2
8,Auto 2 Person,jdisc,0,jdisctourmode2
13,Auto 2 Person,jdisc,0,jdisctourmode2
1,Auto 3+ Person,jdisc,80,jdisctourmode3
2,Auto 3+ Person,jdisc,2931,jdisctourmode3
3,Auto 3+ Person,jdisc,71200,jdisctourmode3
4,Auto 3+ Person,jdisc,1030,jdisctourmode3
5,Auto 3+ Person,jdisc,0,jdisctourmode3
6,Auto 3+ Person,jdisc,0,jdisctourmode3
7,Auto 3+ Person,jdisc,0,jdisctourmode3
8,Auto 3+ Person,jdisc,0,jdisctourmode3
13,Auto 3+ Person,jdisc,0,jdisctourmode3
1,Walk,jdisc,0,jdisctourmode4
2,Walk,jdisc,0,jdisctourmode4
3,Walk,jdisc,0,jdisctourmode4
4,Walk,jdisc,25324,jdisctourmode4
5,Walk,jdisc,0,jdisctourmode4
6,Walk,jdisc,0,jdisctourmode4
7,Walk,jdisc,0,jdisctourmode4
8,Walk,jdisc,0,jdisctourmode4
13,Walk,jdisc,0,jdisctourmode4
1,Bike/Moped,jdisc,0,jdisctourmode5
2,Bike/Moped,jdisc,10,jdisctourmode5
3,Bike/Moped,jdisc,8,jdisctourmode5
4,Bike/Moped,jdisc,0,jdisctourmode5
5,Bike/Moped,jdisc,49,jdisctourmode5
6,Bike/Moped,jdisc,0,jdisctourmode5
7,Bike/Moped,jdisc,0,jdisctourmode5
8,Bike/Moped,jdisc,0,jdisctourmode5
13,Bike/Moped,jdisc,0,jdisctourmode5
1,Walk-Transit,jdisc,0,jdisctourmode6
2,Walk-Transit,jdisc,0,jdisctourmode6
3,Walk-Transit,jdisc,0,jdisctourmode6
4,Walk-Transit,jdisc,0,jdisctourmode6
5,Walk-Transit,jdisc,0,jdisctourmode6
6,Walk-Transit,jdisc,0,jdisctourmode6
7,Walk-Transit,jdisc,0,jdisctourmode6
8,Walk-Transit,jdisc,0,jdisctourmode6
13,Walk-Transit,jdisc,0,jdisctourmode6
1,PNR-Transit,jdisc,0,jdisctourmode7
2,PNR-Transit,jdisc,0,jdisctourmode7
3,PNR-Transit,jdisc,0,jdisctourmode7
4,PNR-Transit,jdisc,0,jdisctourmode7
5,PNR-Transit,jdisc,0,jdisctourmode7
6,PNR-Transit,jdisc,0,jdisctourmode7
7,PNR-Transit,jdisc,0,jdisctourmode7
8,PNR-Transit,jdisc,0,jdisctourmode7
13,PNR-Transit,jdisc,0,jdisctourmode7
1,KNR-Transit,jdisc,0,jdisctourmode8
2,KNR-Transit,jdisc,0,jdisctourmode8
3,KNR-Transit,jdisc,0,jdisctourmode8
4,KNR-Transit,jdisc,0,jdisctourmode8
5,KNR-Transit,jdisc,0,jdisctourmode8
6,KNR-Transit,jdisc,0,jdisctourmode8
7,KNR-Transit,jdisc,0,jdisctourmode8
8,KNR-Transit,jdisc,0,jdisctourmode8
13,KNR-Transit,jdisc,0,jdisctourmode8
1,School Bus,jdisc,0,jdisctourmode13
2,School Bus,jdisc,0,jdisctourmode13
3,School Bus,jdisc,0,jdisctourmode13
4,School Bus,jdisc,0,jdisctourmode13
5,School Bus,jdisc,0,jdisctourmode13
6,School Bus,jdisc,0,jdisctourmode13
7,School Bus,jdisc,0,jdisctourmode13
8,School Bus,jdisc,0,jdisctourmode13
13,School Bus,jdisc,0,jdisctourmode13
1,Total,jdisc,80,jdiscTotal
2,Total,jdisc,119852,jdiscTotal
