Description,Expression,M,N,H
Non-working adult 2016 ASC,@(df.ptype == 4) & (PRE_COVID),,coef_non_working_adult_2016_asc_N,
Retired 2016 ASC,@(df.ptype == 5) & (PRE_COVID),,coef_retired_2016_asc_N,
Driving-age child who is in school 2016 ASC,@(df.ptype == 6) & (PRE_COVID),coef_driving_age_child_2016_asc_M,coef_driving_age_child_2016_asc_N,
Pre-driving-age child who is in school 2016 ASC,@(df.ptype == 7) & (PRE_COVID),coef_pre_driving_age_child_2016_asc_M,coef_pre_driving_age_child_2016_asc_N,
Preschool child 2016 ASC,@(df.ptype == 8) & (PRE_COVID),coef_preschool_child_2016_asc_M,coef_preschool_child_2016_asc_N,
Telecommutes 1 day per week 2016,@(df.telecommute_frequency=='1_day_week') & (PRE_COVID),,coef_telecommute_1_day_week_2016_N,coef_telecommute_1_day_week_2016_H
Telecommutes 2-3 days per week 2016,@(df.telecommute_frequency=='2_3_days_week') & (PRE_COVID),,coef_telecommute_2_3_days_week_2016_N,coef_telecommute_2_3_days_week_2016_H
Telecommutes 4 days per week 2016,@(df.telecommute_frequency=='4_days_week') & (PRE_COVID),,coef_telecommute_4_days_week_2016_N,coef_telecommute_4_days_week_2016_H
Mandatory pattern unavailable if not worker or student,(is_student == False) & (is_worker == False),coef_UNAVAILABLE,,
Mandatory pattern unavailable if not works from home,(work_from_home == True) & (is_student == False),coef_UNAVAILABLE,,
# cutting non-mandatory accessibility into roughly quartiles with low as base,,,,
Non-mandatory accessibility med low,@(((df.shopping_accessibility + df.othdiscr_accessibility) / 2) >= 12) & (((df.shopping_accessibility + df.othdiscr_accessibility) / 2) < 13.5),,coef_non_mand_accessibility_med_low_N,
Non-mandatory accessibility med high,@(((df.shopping_accessibility + df.othdiscr_accessibility) / 2) >= 13.5) & (((df.shopping_accessibility + df.othdiscr_accessibility) / 2) < 15),,coef_non_mand_accessibility_med_high_N,
Non-mandatory accessibility high,@(((df.shopping_accessibility + df.othdiscr_accessibility) / 2) > 15),,coef_non_mand_accessibility_high_N,
Non-mandatory accessibility med low,@(((df.shopping_accessibility + df.othdiscr_accessibility) / 2) >= 12) & (((df.shopping_accessibility + df.othdiscr_accessibility) / 2) < 13.5) & (PRE_COVID),,coef_non_mand_accessibility_med_low_2016_N,
Non-mandatory accessibility med high,@(((df.shopping_accessibility + df.othdiscr_accessibility) / 2) >= 13.5) & (((df.shopping_accessibility + df.othdiscr_accessibility) / 2) < 15) & (PRE_COVID),,coef_non_mand_accessibility_med_high_2016_N,
Non-mandatory accessibility high,@(((df.shopping_accessibility + df.othdiscr_accessibility) / 2) > 15) & (PRE_COVID),,coef_non_mand_accessibility_high_2016_N,
#,,,,
Full-time worker weighted target ASC,ptype == 1,-0.076,0.033,0.288
Part-time worker weighted target ASC,ptype == 2,0.118,-0.124,0.029
University student weighted target ASC,ptype == 3,-0.081,0.038,0.164
Non-working adult weighted target ASC,ptype == 4,,-0.110,0.284
Retired weighted target ASC,ptype == 5,,-0.131,0.313
Driving-age child who is in school weighted target ASC,ptype == 6,-0.134,0.314,0.026
Pre-driving-age child who is in school weighted target ASC,ptype == 7,0.028,-0.084,0.010
Preschool child weighted target ASC,ptype == 8,0.104,-0.223,0.116
ABM3 calibration ASC ptype=1,ptype==1,0.600,0.00,-0.527
ABM3 calibration ASC ptype=2,ptype==2,-0.107,0.0276,0.190
ABM3 calibration ASC ptype=3,ptype==3,0.427,-0.120,-0.200
ABM3 calibration ASC ptype=4,ptype==4,0.0,0.00,0.0889
ABM3 calibration ASC ptype=5,ptype==5,0.0,0.134,-0.227
ABM3 calibration ASC ptype=6,ptype==6,3.750,-0.241,0.298
ABM3 calibration ASC ptype=7,ptype==7,2.200,-0.171,0.096
ABM3 calibration ASC ptype=8,ptype==8,0.536,0.454,-0.731
