Label,Description,Expression,work,univ,school,escort,shopping,othmaint,eatout,social,othdiscr,atwork
util_LogofDistanceAbsoluteDeviation,Log of Distance Absolute Deviation,"@(_dist_dev_logged)",coef_LogofDistanceAbsoluteDeviation_mandatory,coef_LogofDistanceAbsoluteDeviation_mandatory,coef_LogofDistanceAbsoluteDeviation_mandatory,coef_LogofDistanceAbsoluteDeviation_maint,coef_LogofDistanceAbsoluteDeviation_maint,coef_LogofDistanceAbsoluteDeviation_maint,coef_LogofDistanceAbsoluteDeviation_discr,coef_LogofDistanceAbsoluteDeviation_discr,coef_LogofDistanceAbsoluteDeviation_discr,coef_LogofDistanceAbsoluteDeviation_discr
util_DistanceDeviationsquaredRelative,Distance Deviation squared - Relative,"@np.power(np.minimum((_dist_dev)/_op_DIST, 100),2)",,,,coef_DistanceDeviationsquaredRelative_maint,coef_DistanceDeviationsquaredRelative_maint,coef_DistanceDeviationsquaredRelative_maint,coef_DistanceDeviationsquaredRelative_discr,coef_DistanceDeviationsquaredRelative_discr,coef_DistanceDeviationsquaredRelative_discr,coef_DistanceDeviationsquaredRelative_discr
util_DistanceDeviationsquaredAbsolute,Distance Deviation squared - Absolute,"@np.power(_dist_dev,2)",coef_DistanceDeviationsquaredAbsolute_mandatory,coef_DistanceDeviationsquaredAbsolute_mandatory,coef_DistanceDeviationsquaredAbsolute_mandatory,coef_DistanceDeviationsquaredAbsolute_maint,coef_DistanceDeviationsquaredAbsolute_maint,coef_DistanceDeviationsquaredAbsolute_maint,coef_DistanceDeviationsquaredAbsolute_discr,coef_DistanceDeviationsquaredAbsolute_discr,coef_DistanceDeviationsquaredAbsolute_discr,coef_DistanceDeviationsquaredAbsolute_discr
util_DistanceDeviation2ndstopofhalftour,Distance Deviation - 2nd stop of half tour,@(df.trip_num==2) * (_dist_dev),coef_DistanceDeviation2ndstopofhalftour_mandatory,coef_DistanceDeviation2ndstopofhalftour_mandatory,coef_DistanceDeviation2ndstopofhalftour_mandatory,coef_DistanceDeviation2ndstopofhalftour_maint,coef_DistanceDeviation2ndstopofhalftour_maint,coef_DistanceDeviation2ndstopofhalftour_maint,coef_DistanceDeviation2ndstopofhalftour_discr,coef_DistanceDeviation2ndstopofhalftour_discr,coef_DistanceDeviation2ndstopofhalftour_discr,coef_DistanceDeviation2ndstopofhalftour_discr
util_DistanceDeviation3rdmorestoponhalftour,Distance Deviation - 3rd+ stop on half tour,@(df.trip_num>2) * (_dist_dev),coef_DistanceDeviation3rdmorestoponhalftour_mandatory,coef_DistanceDeviation3rdmorestoponhalftour_mandatory,coef_DistanceDeviation3rdmorestoponhalftour_mandatory,coef_DistanceDeviation3rdmorestoponhalftour_maint,coef_DistanceDeviation3rdmorestoponhalftour_maint,coef_DistanceDeviation3rdmorestoponhalftour_maint,coef_DistanceDeviation3rdmorestoponhalftour_discr,coef_DistanceDeviation3rdmorestoponhalftour_discr,coef_DistanceDeviation3rdmorestoponhalftour_discr,coef_DistanceDeviation3rdmorestoponhalftour_discr
util_DistanceDeviationNumberofStopsonthehalftour,Distance Deviation - Number of Stops on the half-tour,"@np.minimum(_dist_dev,7.0)*df.trip_count",coef_DistanceDeviationNumberofStopsonthehalftour_mandatory,coef_DistanceDeviationNumberofStopsonthehalftour_mandatory,coef_DistanceDeviationNumberofStopsonthehalftour_mandatory,coef_DistanceDeviationNumberofStopsonthehalftour_maint,coef_DistanceDeviationNumberofStopsonthehalftour_maint,coef_DistanceDeviationNumberofStopsonthehalftour_maint,coef_DistanceDeviationNumberofStopsonthehalftour_discr,coef_DistanceDeviationNumberofStopsonthehalftour_discr,coef_DistanceDeviationNumberofStopsonthehalftour_discr,coef_DistanceDeviationNumberofStopsonthehalftour_discr
util_DistanceDeviationwalkbiketour,Distance Deviation - walk/bike tour,nonmotorTour * (_dist_dev),coef_DistanceDeviationwalkbiketour_mandatory,coef_DistanceDeviationwalkbiketour_mandatory,coef_DistanceDeviationwalkbiketour_mandatory,coef_DistanceDeviationwalkbiketour_maint,coef_DistanceDeviationwalkbiketour_maint,coef_DistanceDeviationwalkbiketour_maint,coef_DistanceDeviationwalkbiketour_discr,coef_DistanceDeviationwalkbiketour_discr,coef_DistanceDeviationwalkbiketour_discr,coef_DistanceDeviationwalkbiketour_discr
util_DistanceDeviationworkstoppurpose,Distance Deviation - work stop purpose,workStop *_dist_dev,coef_DistanceDeviationworkstoppurpose_mandatory,coef_DistanceDeviationworkstoppurpose_mandatory,coef_DistanceDeviationworkstoppurpose_mandatory,coef_DistanceDeviationworkstoppurpose_maint,coef_DistanceDeviationworkstoppurpose_maint,coef_DistanceDeviationworkstoppurpose_maint,coef_DistanceDeviationworkstoppurpose_discr,coef_DistanceDeviationworkstoppurpose_discr,coef_DistanceDeviationworkstoppurpose_discr,coef_DistanceDeviationworkstoppurpose_discr
util_DistanceDeviationuniversitystoppurpose,Distance Deviation - university stop purpose,"@df.univStop * np.minimum(_dist_dev,5.0)",coef_DistanceDeviationuniversitystoppurpose_mandatory,coef_DistanceDeviationuniversitystoppurpose_mandatory,coef_DistanceDeviationuniversitystoppurpose_mandatory,coef_DistanceDeviationuniversitystoppurpose_maint,coef_DistanceDeviationuniversitystoppurpose_maint,coef_DistanceDeviationuniversitystoppurpose_maint,coef_DistanceDeviationuniversitystoppurpose_discr,coef_DistanceDeviationuniversitystoppurpose_discr,coef_DistanceDeviationuniversitystoppurpose_discr,coef_DistanceDeviationuniversitystoppurpose_discr
util_DistanceDeviationmaintenancestoppurpose,Distance Deviation - maintenance stop purpose,othmainStop * _dist_dev,coef_DistanceDeviationmaintenancestoppurpose_mandatory,coef_DistanceDeviationmaintenancestoppurpose_mandatory,coef_DistanceDeviationmaintenancestoppurpose_mandatory,coef_DistanceDeviationmaintenancestoppurpose_maint,coef_DistanceDeviationmaintenancestoppurpose_maint,coef_DistanceDeviationmaintenancestoppurpose_maint,coef_DistanceDeviationmaintenancestoppurpose_discr,coef_DistanceDeviationmaintenancestoppurpose_discr,coef_DistanceDeviationmaintenancestoppurpose_discr,coef_DistanceDeviationmaintenancestoppurpose_discr
util_DistanceDeviationdiscretionarystoppurpose,Distance Deviation - discretionary stop purpose,"@df.discStop * np.minimum(_dist_dev,8.0)",coef_DistanceDeviationdiscretionarystoppurpose_mandatory,coef_DistanceDeviationdiscretionarystoppurpose_mandatory,coef_DistanceDeviationdiscretionarystoppurpose_mandatory,coef_DistanceDeviationdiscretionarystoppurpose_maint,coef_DistanceDeviationdiscretionarystoppurpose_maint,coef_DistanceDeviationdiscretionarystoppurpose_maint,coef_DistanceDeviationdiscretionarystoppurpose_discr,coef_DistanceDeviationdiscretionarystoppurpose_discr,coef_DistanceDeviationdiscretionarystoppurpose_discr,coef_DistanceDeviationdiscretionarystoppurpose_discr
util_DistanceDeviationshoppingstoppurpose,Distance Deviation - shopping stop purpose,shopStop *_dist_dev,,,,coef_DistanceDeviationshoppingstoppurpose_maint,coef_DistanceDeviationshoppingstoppurpose_maint,coef_DistanceDeviationshoppingstoppurpose_maint,coef_DistanceDeviationshoppingstoppurpose_discr,coef_DistanceDeviationshoppingstoppurpose_discr,coef_DistanceDeviationshoppingstoppurpose_discr,coef_DistanceDeviationshoppingstoppurpose_discr
util_DistanceDeviationeatoutstoppurpose,Distance Deviation - eatout stop purpose,eatStop *_dist_dev,,,,coef_DistanceDeviationeatoutstoppurpose_maint,coef_DistanceDeviationeatoutstoppurpose_maint,coef_DistanceDeviationeatoutstoppurpose_maint,coef_DistanceDeviationeatoutstoppurpose_discr,coef_DistanceDeviationeatoutstoppurpose_discr,coef_DistanceDeviationeatoutstoppurpose_discr,coef_DistanceDeviationeatoutstoppurpose_discr
util_DistanceDeviationsocialstoppurpose,Distance Deviation - social stop purpose,socStop * _dist_dev,,,,coef_DistanceDeviationsocialstoppurpose_maint,coef_DistanceDeviationsocialstoppurpose_maint,coef_DistanceDeviationsocialstoppurpose_maint,coef_DistanceDeviationsocialstoppurpose_discr,coef_DistanceDeviationsocialstoppurpose_discr,coef_DistanceDeviationsocialstoppurpose_discr,coef_DistanceDeviationsocialstoppurpose_discr
util_DistanceDeviationworkstoppurpose_log,Distance Deviation - work stop purpose,workStop * _dist_dev_logged,coef_DistanceDeviationworkstoppurpose,coef_DistanceDeviationworkstoppurpose,coef_DistanceDeviationworkstoppurpose,,,,,,,
util_DistanceDeviationshoppingstoppurpose_log,Distance Deviation - shopping stop purpose,shopStop * _dist_dev_logged,coef_DistanceDeviationshoppingstoppurpose_mandatory,coef_DistanceDeviationshoppingstoppurpose_mandatory,coef_DistanceDeviationshoppingstoppurpose_mandatory,,,,,,,
util_DistanceDeviationsocialvisitingstoppurpose_log,Distance Deviation - socialvisiting stop purpose,socStop * _dist_dev_logged,coef_DistanceDeviationsocialvisitingstoppurpose_mandatory,coef_DistanceDeviationsocialvisitingstoppurpose_mandatory,coef_DistanceDeviationsocialvisitingstoppurpose_mandatory,,,,,,,
util_DistanceDeviationSchool,Distance Deviation - School Tour purpose,schoolTour * _dist_dev,coef_DistanceDeviationSchool_mandatory,coef_DistanceDeviationSchool_mandatory,coef_DistanceDeviationSchool_mandatory,,,,,,,
util_DistanceDeviationUniversity,Distance Deviation - University Tour purpose,univTour * _dist_dev,coef_DistanceDeviationUniversity_mandatory,coef_DistanceDeviationUniversity_mandatory,coef_DistanceDeviationUniversity_mandatory,,,,,,,
util_DistanceDeviationShopping,Distance Deviation - Shopping Tour purpose,shopTour * _dist_dev,,,,coef_DistanceDeviationothmaint_maint,coef_DistanceDeviationothmaint_maint,coef_DistanceDeviationothmaint_maint,,,,
util_DistanceDeviationOthMaint,Distance Deviation - Other maintenanceTour purpose,othmainTour * _dist_dev,,,,coef_DistanceDeviationshopping_maint,coef_DistanceDeviationshopping_maint,coef_DistanceDeviationshopping_maint,,,,
util_DistanceDeviationDiscr,Distance Deviation - DiscTour purpose,discTour * _dist_dev,,,,,,,coef_DistanceDeviationdiscr_maint,coef_DistanceDeviationdiscr_maint,coef_DistanceDeviationdiscr_maint,coef_DistanceDeviationdiscr_maint
util_DistanceDeviationAtwork,Distance Deviation - AtworkTour purpose,atworkTour * _dist_dev,,,,,,,coef_DistanceDeviationatwork_maint,coef_DistanceDeviationatwork_maint,coef_DistanceDeviationatwork_maint,coef_DistanceDeviationatwork_maint
util_DistanceDeviationIncomeLessthan60k,"Distance Deviation - Income Less than $60,000","@(df.income_trips<60000) * np.minimum(_dist_dev,13.0)",coef_DistanceDeviationIncomeLessthan60k_mandatory,coef_DistanceDeviationIncomeLessthan60k_mandatory,coef_DistanceDeviationIncomeLessthan60k_mandatory,coef_DistanceDeviationIncomeLessthan60k_maint,coef_DistanceDeviationIncomeLessthan60k_maint,coef_DistanceDeviationIncomeLessthan60k_maint,coef_DistanceDeviationIncomeLessthan60k_discr,coef_DistanceDeviationIncomeLessthan60k_discr,coef_DistanceDeviationIncomeLessthan60k_discr,coef_DistanceDeviationIncomeLessthan60k_discr
util_DistanceDeviationFemale,Distance Deviation - Female,(female & (is_joint==0)) * (_dist_dev),coef_DistanceDeviationFemale_mandatory,coef_DistanceDeviationFemale_mandatory,coef_DistanceDeviationFemale_mandatory,coef_DistanceDeviationFemale_maint,coef_DistanceDeviationFemale_maint,coef_DistanceDeviationFemale_maint,coef_DistanceDeviationFemale_discr,coef_DistanceDeviationFemale_discr,coef_DistanceDeviationFemale_discr,coef_DistanceDeviationFemale_discr
util_DistanceDeviationAgebetween35and54years,Distance Deviation - Age between 35 and 54 years,"@(df.age_trips.between(35,54)*df.is_joint==0) * (_dist_dev)",coef_DistanceDeviationAgebetween35and54years_mandatory,coef_DistanceDeviationAgebetween35and54years_mandatory,coef_DistanceDeviationAgebetween35and54years_mandatory,coef_DistanceDeviationAgebetween35and54years_maint,coef_DistanceDeviationAgebetween35and54years_maint,coef_DistanceDeviationAgebetween35and54years_maint,coef_DistanceDeviationAgebetween35and54years_discr,coef_DistanceDeviationAgebetween35and54years_discr,coef_DistanceDeviationAgebetween35and54years_discr,coef_DistanceDeviationAgebetween35and54years_discr
util_DistanceDeviationAgeover54years,Distance Deviation - Age over 54 years,@(df.age_trips>54) * (df.is_joint==0) * (_dist_dev),coef_DistanceDeviationAgeover54years_mandatory,coef_DistanceDeviationAgeover54years_mandatory,coef_DistanceDeviationAgeover54years_mandatory,coef_DistanceDeviationAgeover54years_maint,coef_DistanceDeviationAgeover54years_maint,coef_DistanceDeviationAgeover54years_maint,coef_DistanceDeviationAgeover54years_discr,coef_DistanceDeviationAgeover54years_discr,coef_DistanceDeviationAgeover54years_discr,coef_DistanceDeviationAgeover54years_discr
util_DistanceRatio,Distance Ratio,(_nd_DIST)/ (_nd_DIST + _dp_DIST),coef_DistanceRatio_mandatory,coef_DistanceRatio_mandatory,coef_DistanceRatio_mandatory,coef_DistanceRatio_maint,coef_DistanceRatio_maint,coef_DistanceRatio_maint,coef_DistanceRatio_discr,coef_DistanceRatio_discr,coef_DistanceRatio_discr,coef_DistanceRatio_discr
util_DistanceRatioFirstOutboundStop,Distance Ratio - First Outbound Stop,@(df.trip_num==1)*(df.outbound) * ((_nd_DIST)/ (_nd_DIST + _dp_DIST)),coef_DistanceRatioFirstOutboundStop_mandatory,coef_DistanceRatioFirstOutboundStop_mandatory,coef_DistanceRatioFirstOutboundStop_mandatory,coef_DistanceRatioFirstOutboundStop_maint,coef_DistanceRatioFirstOutboundStop_maint,coef_DistanceRatioFirstOutboundStop_maint,coef_DistanceRatioFirstOutboundStop_discr,coef_DistanceRatioFirstOutboundStop_discr,coef_DistanceRatioFirstOutboundStop_discr,coef_DistanceRatioFirstOutboundStop_discr
util_DistanceRatioFirstInboundStop,Distance Ratio - First Inbound Stop,@(df.trip_num==1)*(df.outbound==0) * ((_nd_DIST)/ (_nd_DIST + _dp_DIST)),coef_DistanceRatioFirstInboundStop_mandatory,coef_DistanceRatioFirstInboundStop_mandatory,coef_DistanceRatioFirstInboundStop_mandatory,coef_DistanceRatioFirstInboundStop_maint,coef_DistanceRatioFirstInboundStop_maint,coef_DistanceRatioFirstInboundStop_maint,coef_DistanceRatioFirstInboundStop_discr,coef_DistanceRatioFirstInboundStop_discr,coef_DistanceRatioFirstInboundStop_discr,coef_DistanceRatioFirstInboundStop_discr
util_DistanceRatioMandatoryOutboundTour,Distance Ratio - Mandatory Outbound Tour,(outbound)* mandTour * ((_nd_DIST)/ (_nd_DIST + _dp_DIST)),coef_DistanceRatioMandatoryOutboundTour_mandatory,coef_DistanceRatioMandatoryOutboundTour_mandatory,coef_DistanceRatioMandatoryOutboundTour_mandatory,,,,,,,
util_DistanceRatioMandatoryInboundTour,Distance Ratio - Mandatory Inbound Tour,(outbound==0) * mandTour * ((_nd_DIST)/ (_nd_DIST + _dp_DIST)),coef_DistanceRatioMandatoryInboundTour_mandatory,coef_DistanceRatioMandatoryInboundTour_mandatory,coef_DistanceRatioMandatoryInboundTour_mandatory,,,,,,,
util_DistanceDeviationSquareWork,Distance Deviation Square - Work Tour purpose,"@df.workTour * np.power(_dist_dev,2)",coef_DistanceDeviationSquareWork_mandatory,coef_DistanceDeviationSquareWork_mandatory,coef_DistanceDeviationSquareWork_mandatory,,,,,,,
util_DistanceDeviationSocial,Distance Deviation SocialTour purpose,socTour * _dist_dev,,,,,,,coef_DistanceDeviationDiscr,coef_DistanceDeviationDiscr,coef_DistanceDeviationDiscr,coef_DistanceDeviationDiscr
util_DistanceDeviationDiscr,Distance Deviation DiscrTour purpose,discTour * _dist_dev,,,,,,,coef_DistanceDeviationDiscr,coef_DistanceDeviationDiscr,coef_DistanceDeviationDiscr,coef_DistanceDeviationDiscr
util_DistanceDeviationAtwork_calibration,Distance Deviation - AtworkTour purpose,atworkTour * _dist_dev,,,,coef_DistanceDeviationatwork_calib,coef_DistanceDeviationatwork_calib,coef_DistanceDeviationatwork_calib,coef_DistanceDeviationatwork_calib,coef_DistanceDeviationatwork_calib,coef_DistanceDeviationatwork_calib,coef_DistanceDeviationatwork_calib
