,poe,StartHour,EndHour,StartPeriod,EndPeriod,StandardWait,SENTRIWait,PedestrianWait,MAZ,poe_id
63,3,3,5,1,1,16.88,2.4,999.0,7123,3
64,3,5,6,2,3,21.12,7.0,999.0,7123,3
65,3,6,7,4,5,21.08,10.1,999.0,7123,3
66,3,7,8,6,7,19.24,9.9,999.0,7123,3
67,3,8,9,8,9,18.64,10.3,999.0,7123,3
68,3,9,10,10,11,18.48,7.6,999.0,7123,3
69,3,10,11,12,13,17.52,6.3,999.0,7123,3
70,3,11,12,14,15,19.16,5.7,999.0,7123,3
71,3,12,1,16,17,18.12,6.7,999.0,7123,3
72,3,1,2,18,19,18.16,6.3,999.0,7123,3
73,3,2,3,20,21,18.12,7.3,999.0,7123,3
74,3,3,4,22,23,17.08,7.0,999.0,7123,3
75,3,4,5,24,25,15.32,6.1,999.0,7123,3
76,3,5,6,26,27,12.56,5.7,999.0,7123,3
77,3,6,7,28,29,9.92,6.2,999.0,7123,3
78,3,7,8,30,31,9.56,5.5,999.0,7123,3
79,3,8,9,32,33,8.48,4.5,999.0,7123,3
80,3,9,10,34,35,7.32,4.3,999.0,7123,3
81,3,10,11,36,37,7.56,4.1,999.0,7123,3
82,3,11,12,38,39,9.64,1.8,999.0,7123,3
83,3,12,3,40,40,9.64,0.0,999.0,7123,3
84,4,3,5,1,1,999.0,999.0,999.0,22094,4
85,4,5,6,2,3,21.6,999.0,999.0,22094,4
86,4,6,7,4,5,24.3,999.0,999.0,22094,4
87,4,7,8,6,7,29.1,999.0,999.0,22094,4
88,4,8,9,8,9,29.8,999.0,999.0,22094,4
89,4,9,10,10,11,34.6,999.0,999.0,22094,4
90,4,10,11,12,13,32.6,999.0,999.0,22094,4
91,4,11,12,14,15,34.4,999.0,999.0,22094,4
92,4,12,1,16,17,31.6,999.0,999.0,22094,4
93,4,1,2,18,19,33.2,999.0,999.0,22094,4
94,4,2,3,20,21,32.0,999.0,999.0,22094,4
95,4,3,4,22,23,24.5,999.0,999.0,22094,4
96,4,4,5,24,25,18.9,999.0,999.0,22094,4
97,4,5,6,26,27,18.2,999.0,999.0,22094,4
98,4,6,7,28,29,15.7,999.0,999.0,22094,4
99,4,7,8,30,31,13.9,999.0,999.0,22094,4
100,4,8,9,32,33,11.4,999.0,999.0,22094,4
101,4,9,10,34,35,10.6,999.0,999.0,22094,4
102,4,10,11,36,37,7.4,999.0,999.0,22094,4
103,4,11,12,38,39,12.5,999.0,999.0,22094,4
104,4,12,3,40,40,999.0,999.0,999.0,22094,4
