Description,Step,Type,Table,Out Col,In Col,Func
get HH taz,step_1,raw,,,,final_persons['HHTAZ'] = final_persons['home_zone_id'].map(land_use.set_index('MAZ')['TAZ']).fillna(0)
get HH district,step_1,raw,,,,final_persons['HDISTRICT'] = final_persons['home_zone_id'].map(land_use.set_index('MAZ')['pseudomsa']).fillna(0)
get work taz,step_1,raw,,,,final_persons['WTAZ'] = final_persons['workplace_zone_id'].map(land_use.set_index('MAZ')['TAZ']).fillna(0)
get work district,step_1,raw,,,,final_persons['WDISTRICT'] = final_persons['workplace_zone_id'].map(land_use.set_index('MAZ')['pseudomsa']).fillna(0)
get school taz,step_1,raw,,,,final_persons['STAZ'] = final_persons['school_zone_id'].map(land_use.set_index('MAZ')['TAZ']).fillna(0)
get school district,step_1,raw,,,,final_persons['SDISTRICT'] = final_persons['school_zone_id'].map(land_use.set_index('MAZ')['pseudomsa']).fillna(0)
Get work location distances,step_1,skim,final_persons,WorkLocationDistance,"HHTAZ,WTAZ",traffic_skims_MD['MD_SOV_TR_H_DIST']
Get school location distances,step_1,skim,final_persons,SchoolLocationDistance,"HHTAZ,STAZ",traffic_skims_MD['MD_SOV_TR_H_DIST']
Bin distances to work,step_1,bin,final_persons,workdistbin,WorkLocationDistance,[-99999] + list(range(51)) + [99999]
Bin distances to school,step_1,bin,final_persons,schooldistbin,SchoolLocationDistance,[-99999] + list(range(51)) + [99999]
Recode distance bin to maximum,step_1,apply,final_persons,workdistbin,workdistbin,"(lambda x: int(float(str(x).split(', ')[1].split(']')[0])))"
Recode distance bin to maximum,step_1,apply,final_persons,schooldistbin,schooldistbin,"(lambda x: int(float(str(x).split(', ')[1].split(']')[0])))"
Bin tour distance,step_1,bin,indivTourData_3,tourdistbin,tour_distance,[-99999] + list(range(42)) + [99999]
Bin tour distance,step_1,bin,jointTourData_3,tourdistbin,tour_distance,[-99999] + list(range(42)) + [99999]
Recode distance bin to maximum,step_1,apply,indivTourData_3,tourdistbin,tourdistbin,"(lambda x: int(float(str(x).split(', ')[1].split(']')[0])))"
Recode distance bin to maximum,step_1,apply,jointTourData_3,tourdistbin,tourdistbin,"(lambda x: int(float(str(x).split(', ')[1].split(']')[0])))"
Reset persons index,step_1,raw,final_persons,,,final_persons = final_persons.reset_index()
Classify Person Type,step_1,rename,final_persons,,,{'ptype' : 'PERTYPE'}
Classify individual mandatory tour frequency,step_1,replace,final_persons,imf_choice,mandatory_tour_frequency,"{'work1': 1, 'work2': 2, 'school1': 3, 'school2': 4, 'work_and_school': 5}"
Classify individual mandatory tour frequency,step_1,raw,,,,final_persons['imf_choice'].fillna(0)
Classify individual mandatory tour frequency,step_1,rename,final_persons,,,{'non_mandatory_tour_frequency': 'inmf_choice'}
Reclassify activity pattern,step_1,raw,final_persons,activity_pattern,,"final_persons['activity_pattern'] = np.where((final_persons['cdap_activity'] == 'M') & (final_persons['imf_choice'] == 0),  np.where(final_persons['inmf_choice'] > 0, 'N', 'H'), final_persons['cdap_activity'])"
Calculate HH Size,step_1,raw,final_households,HHSIZ,,"final_households['HHSIZ'] = final_households['household_id'].map(final_persons[['household_id', 'person_id']].groupby('household_id').count()['person_id'])"
Cap Household Size at 5,step_1,cap,final_households,HHSIZE,HHSIZ,5
Identify households with joint tour present,step_1,raw,final_households,JOINT,,"final_households['JOINT'] = np.where(final_households['num_hh_joint_tours'] != 0, 1, 0)"
#,,,,,,
Recode individual tour purposes,step_1,replace,indivTourData_3,TOURPURP,tour_purpose,"{'home': 0, 'work': 1, 'univ': 2,  'school': 3, 'escort': 4, 'shopping': 5, 'othmaint': 6, 'eatout': 7, 'social': 8, 'othdiscr': 9, 'atwork': 10}"
Recode joint tour purposes,step_1,replace,jointTourData_3,TOURPURP,tour_purpose,"{'home': 0, 'work': 1, 'univ': 2,  'school': 3, 'escort': 4, 'shopping': 5, 'othmaint': 6, 'eatout': 7, 'social': 8, 'othdiscr': 9, 'atwork': 10}"
Recode individual trip origin purposes,step_1,replace,indivTripData_3,OPURP,orig_purpose,"{'home': 0, 'work': 1, 'univ': 2,  'school': 3, 'escort': 4, 'shopping': 5, 'othmaint': 6, 'eatout': 7, 'social': 8, 'othdiscr': 9, 'atwork': 10}"
Recode individual trip destination purposes,step_1,replace,indivTripData_3,DPURP,dest_purpose,"{'home': 0, 'work': 1, 'univ': 2,  'school': 3, 'escort': 4, 'shopping': 5, 'othmaint': 6, 'eatout': 7, 'social': 8, 'othdiscr': 9, 'atwork': 10}"
Recode individual trip tour purposes,step_1,replace,indivTripData_3,TOURPURP,tour_purpose,"{'home': 0, 'work': 1, 'univ': 2,  'school': 3, 'escort': 4, 'shopping': 5, 'othmaint': 6, 'eatout': 7, 'social': 8, 'othdiscr': 9, 'atwork': 10}"
Recode joint trip origin purposes,step_1,replace,jointTripData_3,OPURP,orig_purpose,"{'home': 0, 'work': 1, 'univ': 2,  'school': 3, 'escort': 4, 'shopping': 5, 'othmaint': 6, 'eatout': 7, 'social': 8, 'othdiscr': 9, 'atwork': 10}"
Recode joint trip destination purposes,step_1,replace,jointTripData_3,DPURP,dest_purpose,"{'home': 0, 'work': 1, 'univ': 2,  'school': 3, 'escort': 4, 'shopping': 5, 'othmaint': 6, 'eatout': 7, 'social': 8, 'othdiscr': 9, 'atwork': 10}"
Recode joint trip tour purposes,step_1,replace,jointTripData_3,TOURPURP,tour_purpose,"{'home': 0, 'work': 1, 'univ': 2,  'school': 3, 'escort': 4, 'shopping': 5, 'othmaint': 6, 'eatout': 7, 'social': 8, 'othdiscr': 9, 'atwork': 10}"
#,,,,,,
Classify individual tour purpose,step_1,replace,indivTourData_3,AGGPURP,TOURPURP,"{1: '1: Work', 2: '2: University', 3: '3: School', 4: '4: Escort', 5: '5: Individual Maintenance', 6: '5: Individual Maintenance', 7: '6: Individual Discretionary', 8: '6: Individual Discretionary', 9: '6: Individual Discretionary', 10: '9: Work-based'}"
Classify joint tour purpose,step_1,replace,jointTourData_3,AGGPURP,TOURPURP,"{5: '7: Joint Maintenance', 6: '7: Joint Maintenance', 7: '8: Joint Discretionary', 8: '8: Joint Discretionary', 9: '8: Joint Discretionary'}"
Classify individual trip purpose,step_1,replace,indivTripData_3,AGGPURP,TOURPURP,"{1: '1: Work', 2: '2: University', 3: '3: School', 4: '4: Escort', 5: '5: Individual Maintenance', 6: '5: Individual Maintenance', 7: '6: Individual Discretionary', 8: '6: Individual Discretionary', 9: '6: Individual Discretionary', 10: '9: Work-based'}"
Classify joint trip purpose,step_1,replace,jointTripData_3,AGGPURP,TOURPURP,"{5: '7: Joint Maintenance', 6: '7: Joint Maintenance', 7: '8: Joint Discretionary', 8: '8: Joint Discretionary', 9: '8: Joint Discretionary'}"
#,,,,,,
Categorize individual tour,step_1,replace,indivTourData_3,TOURCAT,TOURPURP,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 2}"
Categorize individual trip,step_1,replace,indivTripData_3,TOURCAT,TOURPURP,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 2}"
Create lookup for joining individual tours and trips,step_1,raw,,,,"indivTourData_3['lookup'] = indivTourData_3[['household_id', 'person_num', 'TOURCAT', 'tour_id2']].dot([100000, 1000, 100, 1])"
Create lookup for joining individual tours and trips,step_1,raw,,,,"indivTripData_3['lookup'] = indivTripData_3[['household_id', 'person_num', 'TOURCAT', 'tour_id2']].dot([100000, 1000, 100, 1])"
Create lookup for joining joint tours and trips,step_1,raw,,,,"jointTourData_3['lookup'] = list(zip(jointTourData_3['household_id'], jointTourData_3['tour_id']))"
Create lookup for joining joint tours and trips,step_1,raw,,,,"jointTripData_3['lookup'] = list(zip(jointTripData_3['household_id'], jointTripData_3['tour_id']))"
Add column for grouping all tours,step_1,raw,,,,indivTourData_3['label'] = 'purpose'
Add column for grouping all tours,step_1,raw,,,,jointTourData_3['label'] = 'purpose'
#,,,,,,
Get tour destination TAZ for individual trips,step_1,raw,,,,indivTripData_3['TOURDTAZ'] = indivTripData_3['lookup'].map(indivTourData_3.drop_duplicates('lookup').set_index('lookup')['destinationTAZ'])
Get tour origin TAZ for individual trips,step_1,raw,,,,indivTripData_3['TOUROTAZ'] = indivTripData_3['lookup'].map(indivTourData_3.drop_duplicates('lookup').set_index('lookup')['originTAZ'])
Get tour final destination TAZ for individual trips,step_1,raw,,,,"indivTripData_3['finaldestTAZ'] = np.where(indivTripData_3['outbound'] == True, indivTripData_3['TOURDTAZ'], indivTripData_3['TOUROTAZ'])"
Get distance from trip origin to tour final destination,step_1,skim,indivTripData_3,od_dist,"originTAZ,finaldestTAZ",traffic_skims_MD['MD_SOV_TR_H_DIST']
Get distance from trip destination to tour final destination,step_1,skim,indivTripData_3,sd_dist,"destinationTAZ,finaldestTAZ",traffic_skims_MD['MD_SOV_TR_H_DIST']
Get out of direction distance,step_1,raw,,,,indivTripData_3['out_dir_dist'] = indivTripData_3['od_distance'] + indivTripData_3['sd_dist'] - indivTripData_3['od_dist']
Add avgDist variable for grouping,step_1,raw,,,,indivTripData_3['avgDist'] = 'avgDist'
Bin out of direction distance,step_1,bin,indivTripData_3,out_dir_distbin,out_dir_dist,[-99999] + list(range(43)) + [99999]
Recode distance bin to maximum,step_1,apply,indivTripData_3,out_dir_distbin,out_dir_distbin,"(lambda x: int(float(str(x).split(', ')[1].split(']')[0]))+1)"
#,,,,,,
Get tour origin TAZ for joint trips,step_1,raw,,,,jointTripData_3['TOUROTAZ'] = jointTripData_3['lookup'].map(jointTourData_3.drop_duplicates('lookup').set_index('lookup')['originTAZ'])
Get tour destination TAZ for joint trips,step_1,raw,,,,jointTripData_3['TOURDTAZ'] = jointTripData_3['lookup'].map(jointTourData_3.drop_duplicates('lookup').set_index('lookup')['destinationTAZ'])
Get tour final destination TAZ for joint trips,step_1,raw,,,,"jointTripData_3['finaldestTAZ'] = np.where(jointTripData_3['outbound'] == True, jointTripData_3['TOURDTAZ'], jointTripData_3['TOUROTAZ'])"
,step_1,skim,jointTripData_3,od_dist,"originTAZ,finaldestTAZ",traffic_skims_MD['MD_SOV_TR_H_DIST']
,step_1,skim,jointTripData_3,sd_dist,"destinationTAZ,finaldestTAZ",traffic_skims_MD['MD_SOV_TR_H_DIST']
,step_1,raw,,,,jointTripData_3['out_dir_dist'] = jointTripData_3['od_distance'] + jointTripData_3['sd_dist'] - jointTripData_3['od_dist']
Add avgDist variable for grouping,step_1,raw,,,,jointTripData_3['avgDist'] = 'avgDist'
Bin out of direction distance,step_1,bin,jointTripData_3,out_dir_distbin,out_dir_dist,[-99999] + list(range(43)) + [99999]
Recode distance bin to maximum,step_1,apply,jointTripData_3,out_dir_distbin,out_dir_distbin,"(lambda x: int(float(str(x).split(', ')[1].split(']')[0]))+1)"
#,,,,,,
Add tour participants to joint tour data,step_1,raw,final_joint_tour_participants,,,"tour_participants = (final_joint_tour_participants.groupby([""household_id"", ""tour_id""])[""participant_num""].apply(lambda x: (x.astype(str)+' ').sum().strip()).reset_index())"
Add tour participants to joint tour data,step_1,raw,,tour_participants,,jointTourData_3['tour_participants'] = jointTourData_3['tour_id'].map(tour_participants.set_index('tour_id')['participant_num'])
Add in zeros at end of tour participant string to prevent index error,step_1,apply,jointTourData_3,tour_participants,tour_participants,lambda x: x + (8 - (len(x)+1)//2)*' 0'
Identify person 1 on joint tour,step_1,apply,jointTourData_3,PER1,tour_participants,"lambda x: x.replace(' ', '')[0]"
Identify person 2 on joint tour,step_1,apply,jointTourData_3,PER2,tour_participants,"lambda x: x.replace(' ', '')[1]"
Identify person 3 on joint tour,step_1,apply,jointTourData_3,PER3,tour_participants,"lambda x: x.replace(' ', '')[2]"
Identify person 4 on joint tour,step_1,apply,jointTourData_3,PER4,tour_participants,"lambda x: x.replace(' ', '')[3]"
Identify person 5 on joint tour,step_1,apply,jointTourData_3,PER5,tour_participants,"lambda x: x.replace(' ', '')[4]"
Identify person 6 on joint tour,step_1,apply,jointTourData_3,PER6,tour_participants,"lambda x: x.replace(' ', '')[5]"
Identify person 7 on joint tour,step_1,apply,jointTourData_3,PER7,tour_participants,"lambda x: x.replace(' ', '')[6]"
Identify person 8 on joint tour,step_1,apply,jointTourData_3,PER8,tour_participants,"lambda x: x.replace(' ', '')[7]"
#,,,,,,
Get individual tour person type,step_1,raw,,,,indivTourData_3['PERTYPE'] = (indivTourData_3['household_id'].astype(str) + '-' + indivTourData_3['person_num'].astype(str)).map(final_persons.set_index('hhper_id')['PERTYPE']).fillna(0)
Get individual trip person type,step_1,raw,,,,indivTripData_3['PERTYPE'] = (indivTripData_3['household_id'].astype(str) + '-' + indivTripData_3['person_num'].astype(str)).map(final_persons.set_index('hhper_id')['PERTYPE']).fillna(0)
Get person type for joint tour participant 1,step_1,raw,,,,jointTourData_3['PTYPE1'] = (jointTourData_3['household_id'].astype(str) + '-' + jointTourData_3['PER1'].astype(str)).map(final_persons.set_index('hhper_id')['PERTYPE']).fillna(0)
Get person type for joint tour participant 2,step_1,raw,,,,jointTourData_3['PTYPE2'] = (jointTourData_3['household_id'].astype(str) + '-' + jointTourData_3['PER2'].astype(str)).map(final_persons.set_index('hhper_id')['PERTYPE']).fillna(0)
Get person type for joint tour participant 3,step_1,raw,,,,jointTourData_3['PTYPE3'] = (jointTourData_3['household_id'].astype(str) + '-' + jointTourData_3['PER3'].astype(str)).map(final_persons.set_index('hhper_id')['PERTYPE']).fillna(0)
Get person type for joint tour participant 4,step_1,raw,,,,jointTourData_3['PTYPE4'] = (jointTourData_3['household_id'].astype(str) + '-' + jointTourData_3['PER4'].astype(str)).map(final_persons.set_index('hhper_id')['PERTYPE']).fillna(0)
Get person type for joint tour participant 5,step_1,raw,,,,jointTourData_3['PTYPE5'] = (jointTourData_3['household_id'].astype(str) + '-' + jointTourData_3['PER5'].astype(str)).map(final_persons.set_index('hhper_id')['PERTYPE']).fillna(0)
Get person type for joint tour participant 6,step_1,raw,,,,jointTourData_3['PTYPE6'] = (jointTourData_3['household_id'].astype(str) + '-' + jointTourData_3['PER6'].astype(str)).map(final_persons.set_index('hhper_id')['PERTYPE']).fillna(0)
Get person type for joint tour participant 7,step_1,raw,,,,jointTourData_3['PTYPE7'] = (jointTourData_3['household_id'].astype(str) + '-' + jointTourData_3['PER7'].astype(str)).map(final_persons.set_index('hhper_id')['PERTYPE']).fillna(0)
Get person type for joint tour participant 8,step_1,raw,,,,jointTourData_3['PTYPE8'] = (jointTourData_3['household_id'].astype(str) + '-' + jointTourData_3['PER8'].astype(str)).map(final_persons.set_index('hhper_id')['PERTYPE']).fillna(0)
#,,,,,,
,step_1,raw,,,,toursPertypeDistbn = pd.DataFrame({'freq': indivTourData_3.query('PERTYPE > 0 and TOURPURP != 10')['PERTYPE'].value_counts().sort_index()})
Melt joint tours into tours by person type,step_1,raw,,,,"temp_joint = pd.melt(jointTourData_3, ['household_id', 'tour_id','finalweights'], ['PTYPE1', 'PTYPE2', 'PTYPE3', 'PTYPE4', 'PTYPE5', 'PTYPE6', 'PTYPE7', 'PTYPE8'], value_name = 'PERTYPE').query('PERTYPE > 0')"
Reset temp_joint's index,step_1,raw,,,,temp_joint = temp_joint.drop_duplicates().reset_index()
,step_1,raw,,,,jtoursPertypeDistbn = pd.DataFrame({'freq': temp_joint['PERTYPE'].astype(int).value_counts().sort_index()})
,step_1,raw,,,,totaltoursPertypeDistbn = toursPertypeDistbn.copy()
,step_1,raw,,,,totaltoursPertypeDistbn['freq'] += jtoursPertypeDistbn['freq']
,step_1,raw,,,,totaltoursPertypeDistbn.index.name = 'PERTYPE'
#,,,,,,
Number of non-mandatory tours,step_1,rename,final_persons,inmCounts,,{'num_non_mand': 'inmCounts'}
Number of non-mandatory tours,step_1,cap,final_persons,nmtours,inmCounts,3
Number of non-mandatory tours (rename 3 to 3pl),step_1,replace,final_persons,nmtours,nmtours,"{0: '0', 1: '1', 2: '2', 3: '3+'}"
Reset Individual Tour Index,step_1,raw,indivTourData_3,,,indivTourData_3 = indivTourData_3.drop_duplicates().reset_index()
Reset Joint Tour Index,step_1,raw,jointTourData_3,,,jointTourData_3 = jointTourData_3.drop_duplicates().reset_index()
Reset Individual Trip Index,step_1,raw,indivTourData_3,,,indivTripData_3 = indivTripData_3.drop_duplicates().reset_index()
Reset Joint Trip Index,step_1,raw,jointTourData_3,,,jointTripData_3 = jointTripData_3.drop_duplicates().reset_index()
Recode joint tour composition,step_1,replace,jointTourData_3,tour_composition,composition,"{'adults': 'All Adult', 'children': 'All Children', 'mixed': 'Mixed'}"
Get number in HH on joint tour,step_1,rename,jointTourData_3,,,{'number_of_participants': 'NUMBER_HH_TOTAL'}
Cap NUMBER_HH,step_1,cap,jointTourData_3,NUMBER_HH,NUMBER_HH_TOTAL,5
HH Joint Tours of Purpose 5,step_1,raw,,,,final_households['joint5'] = final_households['household_id'].map(jointTourData_3.query('TOURPURP == 5')['household_id'].value_counts()).fillna(0)
HH Joint Tours of Purpose 6,step_1,raw,,,,final_households['joint6'] = final_households['household_id'].map(jointTourData_3.query('TOURPURP == 6')['household_id'].value_counts()).fillna(0)
HH Joint Tours of Purpose 7,step_1,raw,,,,final_households['joint7'] = final_households['household_id'].map(jointTourData_3.query('TOURPURP == 7')['household_id'].value_counts()).fillna(0)
HH Joint Tours of Purpose 8,step_1,raw,,,,final_households['joint8'] = final_households['household_id'].map(jointTourData_3.query('TOURPURP == 8')['household_id'].value_counts()).fillna(0)
HH Joint Tours of Purpose 9,step_1,raw,,,,final_households['joint9'] = final_households['household_id'].map(jointTourData_3.query('TOURPURP == 9')['household_id'].value_counts()).fillna(0)
Add all joint tours,step_1,sum,final_households,jtours,"joint5,joint6,joint7,joint8,joint9",
Categorize joint tours,step_1,cap,final_households,jointCat,jtours,2
#,,,,,,
Get set of tour ids that are joint tours,step_1,raw,,,,joint_tour_ids = set(final_joint_tour_participants['tour_id'])
Create subset of just joint tours,step_1,raw,,,,"joint_tours = final_tours[['household_id', 'tour_id', 'tour_purpose']].query('tour_id in @joint_tour_ids')"
Group joint tours by household ID and tour purpose,step_1,raw,,,,"joint_tours_by_household_purpose = joint_tours.groupby(['household_id', 'tour_purpose']).count().reset_index().pivot('household_id', 'tour_purpose', 'tour_id').fillna(0).astype(int)"
Get number of joint shopping tours by household,step_1,raw,,,,"final_households['joint_shop'] = np.minimum(final_households['household_id'].map(joint_tours_by_household_purpose['shopping']).fillna(0), 2).astype(int)"
Get number of joint shopping tours by household,step_1,raw,,,,"final_households['joint_main'] = np.minimum(final_households['household_id'].map(joint_tours_by_household_purpose['othmaint']).fillna(0), 2).astype(int)"
Get number of joint shopping tours by household,step_1,raw,,,,"final_households['joint_eat'] = np.minimum(final_households['household_id'].map(joint_tours_by_household_purpose['eatout']).fillna(0), 2).astype(int)"
Get number of joint shopping tours by household,step_1,raw,,,,"final_households['joint_visit'] = np.minimum(final_households['household_id'].map(joint_tours_by_household_purpose['social']).fillna(0), 2).astype(int)"
Get number of joint shopping tours by household,step_1,raw,,,,"final_households['joint_disc'] = np.minimum(final_households['household_id'].map(joint_tours_by_household_purpose['othdiscr']).fillna(0), 2).astype(int)"
#,,,,,,
Initialize joint_tour_frequency column in final_households with no joint tours,step_1,raw,,,,final_households['joint_tour_frequency'] = '0_tours'
Recode if one joint shopping tour was made,step_1,raw,,,,"final_households['joint_tour_frequency'] = np.where(final_households['joint_shop'] == 1, '1_Shop', final_households['joint_tour_frequency'])"
,step_1,raw,,,,"final_households['joint_tour_frequency'] = np.where(final_households['joint_main'] == 1, '1_Main', final_households['joint_tour_frequency'])"
,step_1,raw,,,,"final_households['joint_tour_frequency'] = np.where(final_households['joint_eat'] == 1, '1_Eat', final_households['joint_tour_frequency'])"
,step_1,raw,,,,"final_households['joint_tour_frequency'] = np.where(final_households['joint_visit'] == 1, '1_Visit', final_households['joint_tour_frequency'])"
,step_1,raw,,,,"final_households['joint_tour_frequency'] = np.where(final_households['joint_disc'] == 1, '1_Disc', final_households['joint_tour_frequency'])"
